reference_actor_Q_std,rollout/episode_steps,total/epochs,rollout/return_history,reference_Q_std,rollout/return,train/param_noise_distance,success rate,reference_actor_Q_mean,reference_Q_mean,rollout/actions_std,total/steps,rollout/Q_mean,train/loss_critic,total/steps_per_second,total/duration,rollout/goal_tolerance,reference_action_std,rollout/error,total/episodes,rollout/episodes,errors,reference_action_mean,train/loss_actor,rollout/actions_mean
2.915791,8.870294893310957,1,-4.49,2.8172433,-7.887796691440902,0.0,1.0,-2.2657156,-3.0537624,0.7301142,36998,-2.5421395,0.08942459,24.349465117894777,1519.4584283828735,0.01858,0.87108636,0.02216,4171,4171,0.012938958510080699,0.03827502,1.2755256,0.016613783
2.9026783,8.751266697374481,1,-5.34,2.8060038,-7.768079226163058,0.0,1.0,-2.2408009,-3.0251327,0.73141366,37998,-2.5430388,0.08929836,24.29359793758636,1564.1157846450806,0.01854,0.86898094,0.06561,4342,4342,0.013069426284542569,0.043314308,1.2240287,0.015642509
2.9340138,8.659782367310681,1,-5.38,2.8431892,-7.675993781923163,0.0,1.0,-2.1680927,-2.9658637,0.73261636,38998,-2.541751,0.089877576,24.238892297645183,1608.901905298233,0.0185,0.86967814,0.06856,4503,4503,0.012573253530897999,0.023609914,1.2348309,0.016333476
2.9314418,8.567144998929107,1,-4.09,2.8446114,-7.582780038552152,0.0,1.0,-2.1078253,-2.9117193,0.73407006,39998,-2.5498617,0.09150696,24.20161179457328,1652.699842453003,0.01846,0.8737339,0.01495,4669,4669,0.01228984102754923,0.039638087,1.2295345,0.01513643
2.9530294,8.460173338836153,1,-4.58,2.87095,-7.475237309120924,0.0,1.0,-2.0855694,-2.8801484,0.73521835,40998,-2.5479543,0.07534731,24.155967702738852,1697.2203516960144,0.01843,0.87454975,0.06672,4846,4846,0.012290158763275091,0.029045863,1.1614298,0.01476289
2.9648926,8.36927062574731,1,-4.38,2.8840601,-7.383818254284575,0.0,1.0,-2.1108017,-2.8938637,0.7363136,41998,-2.5494702,0.07657634,24.10512755639382,1742.2849102020264,0.01839,0.87058467,0.03898,5018,5018,0.012386117799493343,0.046121094,1.1180855,0.0152595155
2.985526,8.3087922705314,1,-5.69,2.9094572,-7.322898550724638,0.0,1.0,-2.048097,-2.8392625,0.7371245,42998,-2.558606,0.0713107,24.046572463881994,1788.1134645938873,0.01835,0.8701324,0.02265,5175,5175,0.013281163672817654,0.057217423,1.1327405,0.015666187
2.9886408,8.2070509233352,1,-4.92,2.9169552,-7.220667785860847,0.0,1.0,-1.9988467,-2.8004243,0.7379649,43998,-2.5529795,0.078078605,23.992172634951856,1833.8480916023254,0.01832,0.8659272,0.14268,5361,5361,0.011741467075958065,0.05871719,1.1062082,0.0150377415
2.9851432,8.123126918216284,1,-4.68,2.911116,-7.136306192453511,0.0,1.0,-1.9866533,-2.7733781,0.73900044,44998,-2.551502,0.06747104,23.94622686988356,1879.1269390583038,0.01828,0.868838,0.12302,5539,5539,0.012430214287835029,0.040449295,1.0587709,0.013689399
3.0001667,8.070187752237235,1,-5.13,2.9317799,-7.08299701702053,0.0,1.0,-1.9651173,-2.7607293,0.7400181,45998,-2.5533257,0.07831266,23.89770549569717,1924.7872984409332,0.01824,0.87008274,0.06081,5699,5699,0.012124270178020596,0.052023213,1.0111253,0.011734739
3.0149362,7.99455597141885,1,-4.47,2.9456336,-7.006975161619598,0.0,1.0,-1.9540892,-2.7573066,0.74070126,46998,-2.5520043,0.064302005,23.855551724407523,1970.1074426174164,0.01821,0.8703624,0.03689,5878,5878,0.012100250147469517,0.014211811,1.0401924,0.012743477
3.0309432,7.937489664296345,1,-4.67,2.9557476,-6.949561766165041,0.0,1.0,-1.910724,-2.7017422,0.7417011,47998,-2.5545995,0.07828859,23.823204102398414,2014.7583756446838,0.01817,0.8698378,0.17215,6047,6047,0.012112210805770398,0.027332963,0.9724844,0.011330155
3.0280235,7.889694041867955,1,-4.55,2.9583807,-6.901449275362319,0.0,1.0,-1.8584917,-2.6468601,0.7424993,48998,-2.5600672,0.07990724,23.792266506194807,2059.408673286438,0.01814,0.8644815,0.1016,6210,6210,0.011736612313435623,0.028532207,1.0255709,0.01118866
3.0405974,7.819518298404755,1,-4.06,2.981691,-6.830935251798561,0.0,1.0,-1.8392969,-2.6277747,0.74326944,49998,-2.5546565,0.0716574,23.75394493961123,2104.8293294906616,0.0181,0.867506,0.03304,6394,6394,0.011882072933464018,0.060147356,0.98916817,0.010720093
3.026772,7.763738773024813,1,-4.42,2.964799,-6.7748515755822805,0.0,1.0,-1.789696,-2.5747411,0.7437483,50998,-2.5546222,0.064121045,23.727389189261224,2149.3304464817047,0.01806,0.8641426,0.01124,6569,6569,0.01115800081559151,0.050283253,0.9523204,0.0095400065
3.0242314,7.710557532621589,1,-4.37,2.9755588,-6.72138196915777,0.0,1.0,-1.7838783,-2.5770226,0.7442067,51998,-2.5530849,0.066273324,23.703623162038035,2193.673078775406,0.01803,0.8738219,0.00896,6744,6744,0.012015395678030172,0.021067554,0.9640517,0.010519018
3.0488937,7.651263537906138,1,-3.7,2.9957783,-6.661805054151625,0.0,1.0,-1.7790222,-2.5687196,0.7448381,52998,-2.5481987,0.06559529,23.67354920262131,2238.7010729312897,0.01799,0.8680947,0.05014,6925,6925,0.01204940445539877,0.043533545,0.9030405,0.0098287435
3.0640156,7.5998592540464465,1,-4.73,3.0066426,-6.6101337086558765,0.0,1.0,-1.7893904,-2.572556,0.74545485,53998,-2.5447671,0.059729025,23.6418828357513,2283.997445344925,0.01796,0.86721236,0.02492,7105,7105,0.012763735417331074,0.051128816,0.9049159,0.009492134
3.0310678,7.547762832830085,1,-4.65,2.98888,-6.557782047762833,0.0,1.0,-1.7260958,-2.523207,0.7459797,54998,-2.5369058,0.059491664,23.609300398371587,2329.505706310272,0.01792,0.8632145,0.09352,7286,7286,0.011211187123115916,0.07614849,0.8651796,0.0093846265
3.0482676,7.5335037674919265,1,-5.91,2.99631,-6.543326157158234,0.0,1.0,-1.7223613,-2.5263414,0.74653924,55998,-2.5359676,0.061520208,23.586590909672356,2374.14555644989,0.01788,0.8624236,0.12695,7432,7432,0.011612074091454429,0.05628552,0.8926967,0.007338224
3.0547397,7.498618602815419,1,-4.53,3.003307,-6.508222602289172,0.0,1.0,-1.72009,-2.5041542,0.7468617,56998,-2.532445,0.07479953,23.556410048750212,2419.6386411190033,0.01785,0.86017156,0.02111,7601,7601,0.01243746487910747,0.054329883,0.8685166,0.0073908335
3.035649,7.462043232115286,1,-4.71,2.9796915,-6.47143592382913,0.0,1.0,-1.7128704,-2.5025983,0.74726766,57998,-2.5292742,0.05982506,23.52577304672767,2465.2962470054626,0.01781,0.86013097,0.05283,7772,7772,0.011500374199626639,0.08178267,0.8476904,0.006336585
3.0698528,7.424616159073747,1,-4.45,3.0078206,-6.433803171406997,0.0,1.0,-1.6960602,-2.476667,0.74785775,58998,-2.5315351,0.06298153,23.499128088933553,2510.6463429927826,0.01778,0.8606841,0.02411,7946,7946,0.011541983691236721,0.06489188,0.8625858,0.0056169545
3.072084,7.380536417322834,1,-4.5,3.0108259,-6.389517716535433,0.0,1.0,-1.7033148,-2.4908197,0.7482765,59998,-2.5261533,0.06692169,23.465234825229842,2556.8889656066895,0.01774,0.86263514,0.16811,8128,8128,0.012344135380416376,0.047620114,0.8291849,0.005385107
3.0608842,7.34425045153522,1,-4.55,3.0084949,-6.353040337146298,0.0,1.0,-1.6611359,-2.432747,0.7486674,60998,-2.5223858,0.06376634,23.434483089283553,2602.9163846969604,0.01771,0.85947996,0.05668,8305,8305,0.01170814251830849,0.06442292,0.8094821,0.0057392586
3.053699,7.313908222248437,1,-5.32,2.9996212,-6.322519759348826,0.0,1.0,-1.6434277,-2.409864,0.74902207,61998,-2.5203338,0.05953338,23.40797935214593,2648.584017753601,0.01767,0.8612539,0.00916,8477,8477,0.012758074927356007,0.079153344,0.83470035,0.0055216057
