train/loss_critic,errors,rollout/actions_std,rollout/episode_steps,rollout/return_history,reference_Q_std,total/epochs,train/loss_actor,rollout/return,reference_actor_Q_mean,success rate,rollout/goal_tolerance,total/steps_per_second,rollout/Q_mean,rollout/actions_mean,total/duration,reference_action_std,rollout/episodes,total/episodes,total/steps,reference_Q_mean,rollout/error,reference_actor_Q_std,reference_action_mean,train/param_noise_distance
0.15661354,0.01330478434267264,0.7371959,14.294237842255823,-6.9,3.0600665,1,1.3161169,-13.326930935839805,-1.6267279,1.0,0.01865,25.99070875999079,-2.6611083,0.003944064,1346.5581228733063,0.8902899,2447,2447,34998,-2.2811894,0.03243,3.0701754,-0.021063266,0.0
0.15837015,0.013882806944375993,0.73886037,14.039781591263651,-7.61,3.1011133,1,1.2373117,-13.070982839313572,-1.6311777,1.0,0.01861,25.926255134635408,-2.6760817,0.002327302,1388.47665476799,0.8886086,2564,2564,35998,-2.2691402,0.06065,3.083176,-0.038990114,0.0
0.14725886,0.012566774515575361,0.7406161,13.758646336928226,-6.98,3.145456,1,1.2130845,-12.788397173670509,-1.6312481,1.0,0.01858,25.862391672485863,-2.682359,0.0021012374,1430.5714826583862,0.8939311,2689,2689,36998,-2.2492375,0.17217,3.1266384,-0.048057865,0.0
0.15761115,0.013444585775887618,0.74224454,13.465627214741318,-6.08,3.1168158,1,1.232369,-12.493975903614459,-1.6444191,1.0,0.01854,25.80215132692079,-2.6890583,0.0006603754,1472.667899608612,0.89145297,2822,2822,37998,-2.277875,0.01341,3.0934877,0.01710459,0.0
0.15495557,0.013244333488304127,0.7440113,13.255695341720504,-7.36,3.1646216,1,1.1886227,-12.28289697381843,-1.5653541,1.0,0.0185,25.742368015444285,-2.7080352,0.000398412,1514.9344449043274,0.891629,2941,2941,38998,-2.1961827,0.05572,3.1476364,-0.059131652,0.0
0.14517242,0.013334721190534159,0.74532396,13.09990173599738,-7.87,3.1634927,1,1.1362721,-12.12610547002948,-1.5949908,1.0,0.01846,25.68816493914895,-2.7205334,0.00134487,1557.0594511032104,0.89206046,3053,3053,39998,-2.2137072,0.16305,3.1257498,-0.01370839,0.0
0.14407326,0.013359030001437844,0.74665695,12.965211891208096,-8.41,3.2187607,1,1.1377063,-11.990512333965844,-1.5976114,1.0,0.01843,25.628822820805965,-2.7335982,0.0028833966,1599.6833052635193,0.8901482,3162,3162,40998,-2.215145,0.08023,3.1886895,-0.009481034,0.0
0.14970654,0.012897032191504579,0.74805653,12.81929181929182,-7.73,3.1948578,1,1.1327271,-11.843711843711844,-1.5315495,1.0,0.01839,25.582699877690757,-2.7464716,0.0013579594,1641.656283378601,0.887112,3276,3276,41998,-2.1610494,0.04712,3.1669216,-0.0051484555,0.0
0.1303736,0.012969653627286786,0.7492001,12.688902007083826,-7.87,3.233481,1,1.1009135,-11.712514757969304,-1.5710183,1.0,0.01835,25.54493327976488,-2.7616627,0.0027035982,1683.2300765514374,0.88544136,3388,3388,42998,-2.2051718,0.05598,3.1913886,0.059681445,0.0
0.14397667,0.012843327714435882,0.7503945,12.505400795906764,-6.91,3.2367523,1,1.1300355,-11.528140989198409,-1.5241954,1.0,0.01832,25.49160951587934,-2.763623,0.0013643804,1725.9796786308289,0.87656313,3518,3518,43998,-2.1580558,0.01869,3.2179601,0.027084852,0.0
0.13620563,0.012186790321479875,0.75166523,12.355848434925864,-6.77,3.230528,1,1.0685369,-11.377814387699067,-1.5694348,1.0,0.01828,25.448557775495438,-2.765793,0.00069670635,1768.1945042610168,0.880097,3642,3642,44998,-2.2002642,0.01515,3.2076902,0.030906389,0.0
0.13683681,0.013062261334049675,0.75274646,12.216790648246546,-7.16,3.2595615,1,1.0169908,-11.238044633368757,-1.5381525,1.0,0.01824,25.39471644392919,-2.7766397,0.00052570255,1811.3216621875763,0.88069063,3764,3764,45998,-2.177959,0.08104,3.242935,0.06901338,0.0
0.13783643,0.012226939407137972,0.75365263,12.006387327542157,-5.95,3.2288828,1,1.0389302,-11.026826775677057,-1.5585116,1.0,0.01821,25.3573236770538,-2.7701836,0.0010190918,1853.4290368556976,0.88105005,3914,3914,46998,-2.1742728,0.08563,3.2119617,0.024978504,0.0
0.1359549,0.012360037228939611,0.7546653,11.913378009431622,-8.01,3.2480793,1,1.0293531,-10.933234053114917,-1.4947941,1.0,0.01817,25.33247783639602,-2.7827916,0.0021595717,1894.7218787670135,0.8769398,4029,4029,47998,-2.1084661,0.04075,3.243595,0.08102549,0.0
0.124626964,0.01317028376730049,0.7552876,11.87827352085354,-9.32,3.289356,1,1.0151792,-10.897914645974781,-1.5203393,0.99,0.01814,25.296780057930558,-2.7825522,0.0025993083,1936.9263553619385,0.8758409,4124,4124,48998,-2.1241918,0.04112,3.2468023,0.0495071,0.0
0.119605444,0.01226854199097484,0.75617576,11.767004000941398,-7.18,3.274453,1,0.981868,-10.786067309955284,-1.5437487,1.0,0.0181,25.25763199144106,-2.7809114,0.0019005294,1979.5204877853394,0.87391746,4249,4249,49998,-2.1397104,0.03988,3.2445467,0.052458424,0.0
0.12803863,0.013160544671191479,0.7570073,11.645581182918475,-6.86,3.2714417,1,0.9384488,-10.664078556748116,-1.4742397,1.0,0.01806,25.22795995386178,-2.7885082,0.002026689,2021.4872741699219,0.87329954,4379,4379,50998,-2.0884833,0.08022,3.235026,0.024343967,0.0
0.11948442,0.0124309134302712,0.75777453,11.541740674955594,-6.73,3.2583354,1,0.95245904,-10.559724689165186,-1.463582,1.0,0.01803,25.194679561761017,-2.794266,-0.0005722447,2063.848435640335,0.87440217,4504,4504,51998,-2.0814397,0.19531,3.227763,0.069575645,0.0
0.12964435,0.012607930188456956,0.75839967,11.48439531859558,-8.42,3.2681563,1,0.9405801,-10.501950585175553,-1.5356202,1.0,0.01799,25.158833091436662,-2.8104918,-0.00086914445,2106.53649187088,0.86618966,4614,4614,52998,-2.1419795,0.04257,3.2566748,0.083685465,0.0
0.12512074,0.012357668611343315,0.7592428,11.381323777403036,-7.03,3.3090289,1,0.89640105,-10.39839797639123,-1.4856538,1.0,0.01796,25.118827427475924,-2.8082404,-0.002287335,2149.7022564411163,0.8713785,4744,4744,53998,-2.0890436,0.10347,3.2768426,0.05749317,0.0
0.13557118,0.012564652039724889,0.75972325,11.321803582458308,-7.72,3.3026524,1,0.92190725,-10.338480543545398,-1.5542481,1.0,0.01792,25.07963985281857,-2.8095846,-0.0015355393,2192.9342017173767,0.872367,4857,4857,54998,-2.1641622,0.10085,3.2942395,0.05733041,0.0
0.12236715,0.01251908736929129,0.7604843,11.233948635634029,-6.94,3.3029227,1,0.9317028,-10.250200642054574,-1.4589947,1.0,0.01788,25.04871704217695,-2.8122149,-0.0012041891,2235.5635981559753,0.86474013,4984,4984,55998,-2.0783887,0.03091,3.274475,0.07163804,0.0
