train/loss_actor,total/steps,success rate,total/steps_per_second,train/loss_critic,rollout/actions_std,errors,rollout/error,reference_action_mean,rollout/return,total/duration,rollout/actions_mean,reference_Q_mean,total/epochs,rollout/return_history,rollout/Q_mean,total/episodes,rollout/goal_tolerance,rollout/episodes,reference_Q_std,train/param_noise_distance,rollout/episode_steps,reference_actor_Q_mean,reference_action_std,reference_actor_Q_std
1.5110078,1871998,1.0,21.58283419720821,0.05963008,0.7127313,0.0006243445382835515,0.04047,0.11880136,-7.763842855270303,86735.50391459465,0.0020278343,-2.8200853,1,-8.83,-3.3103561,213612,0.001,213612,2.9770222,0.0,8.763482388629852,-2.0490088,0.83900034,2.9646752
1.5391765,1872998,1.0,21.58270297562188,0.07620589,0.71269995,0.0006330948464195824,0.00124,0.05594908,-7.765546320735291,86782.36466097832,0.0020266066,-2.8276415,1,-11.63,-3.3105302,213684,0.001,213684,2.9666264,0.0,8.765185975552685,-2.1006804,0.8426228,2.91928
1.5184665,1873998,1.0,21.582509807969426,0.06433512,0.71267515,0.0006396743247728306,0.00032,0.07945727,-7.766668381881716,86829.47519421577,0.0020415238,-2.8392391,1,-10.99,-3.310613,213773,0.001,213773,2.9958227,0.0,8.766308186721428,-2.0517998,0.83493495,2.99222
1.5568506,1874998,1.0,21.582262275810173,0.06222175,0.7126564,0.0006519944096358664,0.00151,0.07252567,-7.7670986927004435,86876.80540800095,0.0020725876,-2.8006303,1,-8.57,-3.3104696,213876,0.001,213876,2.9796255,0.0,8.76673867100563,-2.0611367,0.83748364,2.9359858
1.5841962,1875998,0.99,21.5820500859596,0.060631152,0.71261907,0.0006574036820853459,0.00206,0.07005745,-7.768610569709887,86923.99436235428,0.0020829022,-2.886979,1,-11.24,-3.310843,213951,0.001,213951,2.9811459,0.0,8.768246000252395,-2.1267276,0.840841,2.9532845
1.5367078,1876998,1.0,21.581718012727908,0.0718216,0.71259755,0.0006391259486855164,0.00282,0.08604986,-7.769574337866691,86971.66735720634,0.002070321,-2.7768617,1,-10.04,-3.3107777,214043,0.001,214043,2.9783387,0.0,8.769209925108505,-2.012941,0.83785224,2.9609146
1.5656312,1877998,1.0,21.581548091412277,0.06397366,0.7125723,0.000663262159063805,0.00304,0.064249165,-7.770324605276062,87018.68800354004,0.0020675028,-2.8319197,1,-9.17,-3.3108134,214137,0.001,214137,2.9891498,0.0,8.769960352484624,-2.0604227,0.83838564,2.9545782
1.567857,1878998,1.0,21.58115749434909,0.060646344,0.7125435,0.000667724946596063,0.00998,0.07832768,-7.772060127911862,87066.59967112541,0.0020640893,-2.820428,1,-12.1,-3.3110993,214210,0.001,214210,2.9921973,0.0,8.771695999253069,-2.0490131,0.8472589,2.98309
1.5471535,1879998,1.0,21.580730520208252,0.06365284,0.71250975,0.0006216598879382333,0.03818,0.06576729,-7.773130065935912,87114.65991568565,0.0020693028,-2.8250632,1,-10.63,-3.3109758,214299,0.001,214299,2.9907472,0.0,8.772766088502513,-2.0666573,0.8436709,2.9577878
1.6084518,1880998,1.0,21.58067016713821,0.06698079,0.7124806,0.0006263163865171272,0.0133,0.109306134,-7.77494880323181,87161.24130678177,0.002097457,-2.8259072,1,-12.01,-3.3114135,214369,0.001,214369,3.0076647,0.0,8.774584944651512,-2.0465841,0.8424767,2.9883358
1.4955963,1881998,1.0,21.58050113031841,0.06451396,0.71245724,0.000657086416015509,0.05272,0.09826971,-7.775787785248669,87208.26215457916,0.0020956378,-2.725391,1,-9.99,-3.3114839,214462,0.001,214462,2.9879084,0.0,8.77542408445319,-1.9440241,0.8395916,2.975709
1.5476724,1882998,1.0,21.580232848925856,0.06717609,0.712428,0.0006538116317012472,0.00255,0.08314086,-7.776953301607573,87255.6850142479,0.002115205,-2.813596,1,-10.01,-3.311429,214547,0.001,214547,2.996091,0.0,8.77658974490438,-2.0427458,0.8445579,2.9904177
1.538701,1883998,1.0,21.57985997935687,0.068351954,0.7123954,0.0006237598730349015,0.01441,0.07634019,-7.7780873486959194,87303.53217315674,0.002131899,-2.8605268,1,-10.31,-3.3114307,214634,0.001,214634,2.984565,0.0,8.777723939357232,-2.0958853,0.84049386,2.970306
1.499568,1884998,1.0,21.57962502498716,0.06341887,0.7123771,0.0006529041883763955,0.00059,0.06509156,-7.779033647688904,87350.82272362709,0.002142035,-2.8059015,1,-10.82,-3.311318,214725,0.001,214725,3.0094452,0.0,8.778670392362324,-2.0463982,0.84239906,2.989791
1.5429082,1885998,1.0,21.57919479322752,0.0649224,0.7123299,0.0006511323808145388,0.00477,0.05212404,-7.780203818453531,87398.90519881248,0.0021723744,-2.763011,1,-10.5,-3.3113086,214799,0.001,214799,2.98002,0.0,8.77984068827136,-1.9912446,0.8381237,2.9796755
1.5209538,1886998,1.0,21.5786263594814,0.062741384,0.71230996,0.0006378430896739646,0.00061,0.057317194,-7.781599888314952,87447.54965233803,0.00218626,-2.8119345,1,-10.72,-3.3113906,214890,0.001,214890,2.9923446,0.0,8.781236911908419,-2.0820403,0.8408099,2.950309
1.5472373,1887998,1.0,21.578207903176992,0.059487652,0.7122908,0.0006783316653502252,0.013,0.047790315,-7.782501709453394,87495.58853411674,0.0021694838,-2.7960722,1,-10.02,-3.311451,214981,0.001,214981,3.000586,0.0,8.782138886692312,-2.0345285,0.8398874,2.988937
1.5557193,1888998,1.0,21.577772367393006,0.06100956,0.71225154,0.0006423524395830746,0.05305,0.057502937,-7.783989509855435,87543.69857263565,0.0021724524,-2.9296727,1,-11.47,-3.3113177,215059,0.001,215059,2.947276,0.0,8.783626818686965,-2.1783092,0.83810526,2.9139333
