rollout/error,errors,rollout/return,reference_action_mean,rollout/episodes,rollout/return_history,train/loss_critic,reference_action_std,reference_actor_Q_mean,rollout/actions_mean,rollout/Q_mean,total/steps,train/loss_actor,reference_Q_mean,total/steps_per_second,train/param_noise_distance,reference_Q_std,success rate,rollout/goal_tolerance,rollout/actions_std,total/duration,total/episodes,reference_actor_Q_std,rollout/episode_steps,total/epochs
0.05384,0.01272468717287997,-15.228822139723253,-0.18787766,2963,-8.8,0.15274383,0.88258547,-0.7381394,-0.016089221,-3.0124207,47998,1.3518987,-1.128925,27.27463340806014,0.0,4.289825,1.0,0.01817,0.7379263,1759.8036711215973,2963,4.1777763,16.193047586905163,1
0.09164,0.012835754383994187,-15.020880913539967,-0.18657334,3065,-8.82,0.14148825,0.8756898,-0.80265987,-0.01672618,-3.018079,48998,1.3688844,-1.1907203,27.227656563195584,0.0,4.2776566,1.0,0.01814,0.7393482,1799.5672850608826,3065,4.174258,15.986296900489396,1
0.13734,0.012653872364410446,-14.875792141951838,-0.18217792,3156,-9.9,0.13447428,0.872881,-0.75319886,-0.01614888,-3.025063,49998,1.2740602,-1.1580539,27.17930456390179,0.0,4.280182,0.99,0.0181,0.74049604,1839.561416387558,3156,4.160697,15.841888466413181,1
0.13445,0.012949281170554867,-14.71762534604737,-0.1578057,3251,-9.34,0.12667543,0.8816917,-0.72508967,-0.016013265,-3.0370955,50998,1.2622843,-1.1351186,27.11871424745962,0.0,4.309071,1.0,0.01806,0.74178123,1880.54638338089,3251,4.184176,15.68471239618579,1
0.08533,0.013130818918189624,-14.577578475336322,-0.15012504,3345,-9.93,0.13135493,0.8756096,-0.6969166,-0.01508188,-3.0348136,51998,1.2647705,-1.0954609,27.068687095137186,0.0,4.3138266,0.99,0.01803,0.74263656,1920.9649813175201,3345,4.1790757,15.545291479820628,1
0.06294,0.012859450639183416,-14.401102088167054,-0.21613495,3448,-8.81,0.13169537,0.86378664,-0.77388465,-0.014456465,-3.0445242,52998,1.2399083,-1.1660305,27.021355452097268,0.0,4.3620687,1.0,0.01799,0.74379754,1961.3375833034515,3448,4.247832,15.36977958236659,1
0.15939,0.012147031483668184,-14.236271472824557,-0.1589004,3551,-8.69,0.13574922,0.8776289,-0.7490276,-0.013166448,-3.0466394,53998,1.2363216,-1.1393025,26.98532289109206,0.0,4.318987,1.0,0.01796,0.7447695,2001.01367020607,3551,4.2054267,15.20585750492819,1
0.00951,0.012444178782980455,-14.085683000273747,-0.17450881,3653,-8.7,0.13234505,0.87545043,-0.72130245,-0.01272435,-3.0511277,54998,1.2391522,-1.1269443,26.946304448043698,0.0,4.37117,1.0,0.01792,0.74561834,2041.0219926834106,3653,4.2459307,15.056118258965235,1
0.0179,0.012563016690789392,-13.920478723404255,-0.22982804,3760,-7.95,0.13207859,0.8583927,-0.6918788,-0.012950575,-3.0581093,55998,1.2459373,-1.091201,26.89741798322354,0.0,4.339665,1.0,0.01788,0.7466118,2081.909870862961,3760,4.2189817,14.891755319148936,1
0.12138,0.011652288479557776,-13.80399274047187,-0.18428034,3857,-9.41,0.11926049,0.85855705,-0.70011157,-0.012349256,-3.0644405,56998,1.2202704,-1.0933659,26.853539546852893,0.0,4.3859644,1.0,0.01785,0.74751264,2122.5507311820984,3857,4.2538285,14.775991703396421,1
0.06004,0.011610118441492878,-13.698962813053377,-0.22010721,3953,-9.45,0.1359311,0.86539847,-0.7401085,-0.012792588,-3.0709612,57998,1.1817337,-1.1554885,26.811409246465917,0.0,4.349922,1.0,0.01781,0.7484357,2163.183571100235,3953,4.2273602,14.671641791044776,1
0.03383,0.012093574600799486,-13.593479871573228,-0.2663491,4049,-9.13,0.11919019,0.8501715,-0.7322273,-0.012577044,-3.074919,58998,1.1887435,-1.1230743,26.771940751400038,0.0,4.350957,1.0,0.01778,0.74923956,2203.7251818180084,4049,4.2071238,14.566806618918251,1
0.21869,0.012035119028462198,-13.46870486278286,-0.23269089,4154,-8.66,0.11877632,0.8557705,-0.72725475,-0.012746931,-3.0787327,59998,1.1837392,-1.1387529,26.7268825124721,0.0,4.398652,1.0,0.01774,0.75014156,2244.855903863907,4154,4.2390504,14.442705825710158,1
