rollout/goal_tolerance,rollout/return_history,rollout/error,total/steps,reference_actor_Q_std,rollout/episode_steps,total/epochs,rollout/return,rollout/actions_std,reference_Q_mean,reference_action_std,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,rollout/Q_mean,total/duration,train/loss_actor,success rate,train/loss_critic,errors,train/param_noise_distance,rollout/episodes,reference_action_mean,reference_actor_Q_mean
0.01891,-7.52,0.08532,27998,2.713018,19.186429061000684,1,-18.247429746401647,0.71271616,-1.4610041,0.84536517,1459,2.8269117,-0.072574034,29.026067320880724,-3.1771178,964.5812397003174,1.9736569,1.0,0.13773257,0.013457375418885378,0.0,1459,-0.11377046,-1.0141976
0.01887,-6.87,0.03656,28998,2.7430592,18.330594184576487,1,-17.38685208596713,0.7153407,-1.4743671,0.8494819,1582,2.87032,-0.07060675,28.883511606900445,-3.186639,1003.9637975692749,1.9360522,1.0,0.1382515,0.013919400556209797,0.0,1582,-0.095873706,-1.039044
0.01884,-8.3,0.06126,29998,2.7487538,17.749704142011833,1,-16.802366863905327,0.7179709,-1.4376762,0.8503747,1690,2.8788826,-0.0681647,28.740408127741635,-3.1996558,1043.7569246292114,1.8800713,1.0,0.11696048,0.013563987237195645,0.0,1690,-0.092434965,-0.98575056
0.0188,-8.52,0.09819,30998,2.7635844,17.261281337047354,1,-16.310863509749304,0.71995515,-1.3547361,0.84787726,1795,2.8899293,-0.06800425,28.581894067716032,-3.2170782,1084.5327439308167,1.8595692,1.0,0.12864456,0.013283369567192565,0.0,1795,-0.093777634,-0.8931883
0.01876,-6.31,0.03523,31998,2.8055139,16.67274622199062,1,-15.71912454403335,0.72235805,-1.336118,0.85227466,1919,2.9246576,-0.06617255,28.43039013515167,-3.221523,1125.4857864379883,1.7711477,1.0,0.13393982,0.012939357820827425,0.0,1919,-0.13458173,-0.86497694
0.01872,-6.7,0.06317,32998,2.8218553,16.155729676787463,1,-15.199314397649363,0.72461915,-1.2805641,0.8567703,2042,2.9413562,-0.06484349,28.29775869775111,-3.2295313,1166.0994198322296,1.7484887,1.0,0.116392136,0.013531691833880411,0.0,2042,-0.1093823,-0.8395829
0.01869,-8.39,0.01532,33998,2.8298974,15.828677839851025,1,-14.870111731843576,0.72667646,-1.2867982,0.85163176,2148,2.9572396,-0.061903067,28.19269348891876,-3.2385268,1205.915284872055,1.6539874,1.0,0.12216467,0.013003282099261293,0.0,2148,-0.13316955,-0.82492185
0.01865,-7.42,0.24199,34998,2.8645658,15.475409836065573,1,-14.514842711564024,0.72880006,-1.2239758,0.8665929,2257,2.978965,-0.060602218,28.109318634241728,-3.256608,1245.0675327777863,1.6285081,1.0,0.09996213,0.013374080949029895,0.0,2257,-0.09049568,-0.7645694
0.01861,-7.48,0.09762,35998,2.8680425,15.22715736040609,1,-14.26522842639594,0.7308804,-1.1522973,0.8579478,2364,2.999057,-0.058369756,27.990114669241795,-3.2755837,1286.0969104766846,1.5952595,1.0,0.114211105,0.012358612390775897,0.0,2364,-0.15644298,-0.6937737
0.01858,-7.71,0.16167,36998,2.9051049,14.936213161081954,1,-13.972547436415018,0.73260546,-1.1690004,0.85593724,2477,3.0257137,-0.056996126,27.888645934044597,-3.2756515,1326.6330709457397,1.5671709,1.0,0.10181212,0.013021784810810233,0.0,2477,-0.1583392,-0.73093164
0.01854,-9.85,0.17478,37998,2.926804,14.796339563862928,1,-13.83177570093458,0.73440814,-1.1235244,0.8640919,2568,3.0584602,-0.056683492,27.81066555919786,-3.3049037,1366.3103430271149,1.5333861,0.99,0.13160309,0.014388424002607153,0.0,2568,-0.13281806,-0.6642635
0.0185,-6.98,0.08268,38998,2.9499784,14.513211760327502,1,-13.54707852623744,0.73620707,-1.0968387,0.86892045,2687,3.0580025,-0.055700872,27.727260271054018,-3.3086922,1406.485877752304,1.5163548,1.0,0.11977459,0.012426062332326097,0.0,2687,-0.10432973,-0.64699996
0.01846,-7.46,0.01428,39998,2.954051,14.260249554367201,1,-13.292691622103387,0.73774064,-1.0705832,0.861464,2805,3.060483,-0.05523889,27.631179069956474,-3.3056862,1447.5676155090332,1.4652448,1.0,0.10165878,0.012204208425458248,0.0,2805,-0.13493899,-0.6313888
0.01843,-7.49,0.14957,40998,2.960651,14.021203830369357,1,-13.05232558139535,0.7394189,-1.0445235,0.86024404,2924,3.085393,-0.054689523,27.544641346214657,-3.3082309,1488.4201788902283,1.4744643,1.0,0.10692117,0.012880246709473277,0.0,2924,-0.10971594,-0.6150758
0.01839,-8.2,0.12585,41998,3.0119681,13.850263852242744,1,-12.880277044854882,0.74075145,-1.0566638,0.8515212,3032,3.1276314,-0.052681908,27.47693342121314,-3.3138816,1528.4820673465729,1.468266,1.0,0.095137246,0.013104652447012321,0.0,3032,-0.1394004,-0.62384593
0.01835,-8.11,0.01213,42998,2.9888394,13.685550604710375,1,-12.714513049013368,0.74205744,-1.006593,0.8480429,3142,3.112193,-0.05249976,27.39666243433642,-3.311724,1569.4612474441528,1.407809,1.0,0.09856081,0.012427849910953661,0.0,3142,-0.12643096,-0.58946466
0.01832,-8.26,0.15672,43998,2.9921343,13.542320714065866,1,-12.570329332102185,0.74345773,-1.0081049,0.8400608,3249,3.1238315,-0.05449476,27.342026627241456,-3.315378,1609.1711342334747,1.4488626,1.0,0.10502085,0.012480246787994819,0.0,3249,-0.14681415,-0.58043206
0.01828,-8.72,0.0396,44998,3.02336,13.429253731343284,1,-12.456417910447762,0.7448037,-0.9711465,0.85523736,3350,3.157948,-0.052380007,27.29585355291034,-3.3252833,1648.5287742614746,1.3479347,1.0,0.10306831,0.01320712648660616,0.0,3350,-0.06650403,-0.5483495
