success rate,train/loss_actor,rollout/actions_std,train/param_noise_distance,total/episodes,total/steps_per_second,rollout/return_history,errors,reference_action_std,rollout/actions_mean,reference_Q_mean,total/steps,reference_actor_Q_mean,rollout/return,rollout/episodes,reference_action_mean,rollout/Q_mean,reference_actor_Q_std,rollout/error,reference_Q_std,rollout/goal_tolerance,rollout/episode_steps,total/duration,train/loss_critic,total/epochs
0.97,4.7898803,0.6726433,0.0,81134,30.393982503190042,-31.77,0.00316190261261206,0.79307246,0.003874688,-4.582074,1213998,-3.9370615,-13.971158823674415,81134,-0.072358556,-4.577093,3.7764266,0.02766,3.7198937,0.001,14.962395543175488,39942.05102515221,0.23792915,1
0.96,4.2148323,0.6725444,0.0,81160,30.39511725574627,-32.59,0.0030073940272472184,0.79041547,0.0038829606,-4.5278816,1214998,-3.881003,-13.97918925579103,81160,-0.07082283,-4.5781,3.7870235,0.11098,3.7332478,0.001,14.970404139970428,39973.459874391556,0.16112694,1
0.96,4.138062,0.67244124,0.0,81182,30.394993511077953,-32.7,0.0009912091707707028,0.7919477,0.0038890792,-4.6442604,1215998,-3.9951572,-13.987016826390086,81182,-0.033248764,-4.579692,3.7743402,0.12513,3.717729,0.001,14.9782217732995,40006.5227701664,0.15288113,1
0.97,4.504557,0.6723504,0.0,81209,30.39608630585286,-35.36,0.0008776725193935049,0.78911746,0.0039227293,-4.611924,1216998,-3.9411416,-13.994680392567327,81209,-0.03754075,-4.5810795,3.7765296,0.24486,3.7221122,0.001,14.985888263616102,40037.98343491554,0.18977289,1
0.96,5.0907106,0.67225164,0.0,81235,30.396893215264168,-38.71,0.001011478344979597,0.79650146,0.003973698,-4.629755,1217998,-3.9558215,-14.002240413614821,81235,-0.025855115,-4.5834656,3.7702377,0.13519,3.7222254,0.001,14.993438788699452,40069.818694114685,0.21208504,1
0.97,5.012435,0.6721482,0.0,81258,30.398233315289225,-39.95,0.0021890638826552334,0.80234224,0.003993995,-4.5636454,1218998,-3.9250872,-14.010214378891925,81258,-0.04972726,-4.584709,3.7717247,0.04417,3.705923,0.001,15.001402938787566,40100.94887280464,0.19438091,1
0.96,3.7195644,0.67202723,0.0,81285,30.39948328937474,-38.22,0.00213604839575787,0.80797285,0.0039930167,-4.5272913,1219998,-3.8697667,-14.01771544565418,81285,0.018747196,-4.5846014,3.7622066,0.13993,3.6904044,0.001,15.00888232761272,40132.19528722763,0.1796668,1
0.97,3.244789,0.6719561,0.0,81320,30.400830836166616,-32.5,0.0020148664340238873,0.79622453,0.003977455,-4.578927,1220998,-3.9212632,-14.022651254303984,81320,0.025667822,-4.585352,3.7860847,0.07265,3.725905,0.001,15.013821938022627,40163.31022596359,0.16530098,1
0.94,4.150829,0.6718599,0.0,81341,30.40197522369894,-35.3,0.0022777021929559983,0.79896575,0.00398315,-4.490699,1221998,-3.8475122,-14.030747101707625,81341,0.015647998,-4.586921,3.7854228,0.0317,3.7195015,0.001,15.021883183142572,40194.69100308418,0.16634971,1
0.94,4.4219046,0.6717529,0.0,81370,30.40309091260708,-33.77,0.0011448152841111827,0.79878265,0.0039939787,-4.5189276,1222998,-3.8664722,-14.038982425955512,81370,-0.0013840012,-4.588087,3.7591672,0.17446,3.7029877,0.001,15.03009708737864,40226.10738873482,0.1762145,1
0.95,3.781893,0.67166156,0.0,81406,30.40393677762618,-32.58,0.001112614500061626,0.80364335,0.004013763,-4.526231,1223998,-3.8486679,-14.0445298872319,81406,0.0042030066,-4.5885806,3.7790158,0.00518,3.714111,0.001,15.035648477999164,40257.87873959541,0.20826808,1
0.98,3.303155,0.6715512,0.0,81434,30.405410178120057,-32.43,0.0008557538788662532,0.7897166,0.0040277233,-4.558703,1224998,-3.9009068,-14.05150182970258,81434,-0.043771908,-4.5888495,3.781346,0.01318,3.7261178,0.001,15.042623474224525,40288.81678700447,0.18631497,1
0.99,3.766266,0.67145455,0.0,81466,30.406562500367432,-28.56,0.0007894598388622315,0.79879886,0.004039901,-4.5234036,1225998,-3.871395,-14.056489823975646,81466,0.004889816,-4.5900865,3.7740858,0.00839,3.7137804,0.001,15.047602680873002,40320.177592754364,0.15770279,1
0.99,3.8654869,0.6713794,0.0,81508,30.40748897113923,-28.67,0.0008206161804250298,0.7913646,0.0040255226,-4.524599,1226998,-3.8723984,-14.062607351425626,81508,-0.04575853,-4.5906534,3.8127646,0.08342,3.7417142,0.001,15.053724787750896,40351.83573246002,0.18908808,1
0.98,3.383134,0.67127424,0.0,81536,30.4083936672273,-28.48,0.0008472910606436479,0.79456747,0.004020905,-4.523841,1227998,-3.8662033,-14.069601157770801,81536,-0.0049791387,-4.591226,3.794004,0.15083,3.7337582,0.001,15.06070937990581,40383.520860672,0.20605686,1
0.96,3.6548538,0.67117137,0.0,81563,30.40909852300364,-30.41,0.0009297533565801567,0.78948784,0.004007562,-4.611355,1228998,-3.9503083,-14.076493017667325,81563,-0.034263458,-4.5922084,3.810026,0.00375,3.7508593,0.001,15.06756740188566,40415.46970129013,0.19786043,1
0.94,4.182762,0.67109466,0.0,81601,30.409377519095287,-29.99,0.0009615314284612165,0.79173505,0.004016009,-4.6233425,1229998,-3.9499478,-14.082119091677798,81601,-0.0038091291,-4.5935326,3.8589785,0.00303,3.784631,0.001,15.073173122878396,40447.98349547386,0.15924913,1
