rollout/goal_tolerance,total/steps_per_second,total/epochs,rollout/return,train/loss_critic,reference_action_mean,total/episodes,errors,reference_action_std,reference_actor_Q_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,train/loss_actor,success rate,rollout/actions_std,total/steps,rollout/error,reference_Q_mean,train/param_noise_distance,rollout/episodes,rollout/actions_mean,reference_Q_std,total/duration,rollout/episode_steps
0.01891,31.154184546018968,1,-51.0,0.20196934,-0.17752127,541,0.026976884045043552,0.7959131,3.005759,-3.181344,-34.42,-0.99579465,1.9114811,0.84,0.7353583,27998,0.05768,-1.5637205,0.0,541,0.024111422,3.06245,898.6914730072021,51.73012939001848
0.01887,31.019364649071715,1,-47.57929883138564,0.18926987,-0.17831619,599,0.02091123986854988,0.79883504,3.022512,-3.2297635,-27.3,-0.96058893,1.9779603,0.89,0.736665,28998,0.06778,-1.5256662,0.0,599,0.026914665,3.1014826,934.835394859314,48.3322203672788
0.01884,30.867925511724504,1,-45.00917431192661,0.16100204,-0.23356122,654,0.014433366418155638,0.79577994,3.0797772,-3.2697568,-14.73,-0.93956476,2.005365,0.98,0.73705596,29998,0.12496,-1.5183828,0.0,654,0.02594569,3.1522233,971.8178174495697,45.781345565749234
0.0188,30.726753354584496,1,-43.7183908045977,0.1854135,-0.2280175,696,0.015926256196019305,0.7966706,3.1210136,-3.3166423,-19.39,-0.93076503,2.030551,0.96,0.7379955,30998,0.09657,-1.4966705,0.0,696,0.025891397,3.1799197,1008.8277027606964,44.5
0.01876,30.575226614786242,1,-41.517195767195766,0.18186119,-0.1773649,756,0.015551584002637585,0.80725574,3.1440215,-3.349245,-17.91,-0.9228186,2.0352366,0.97,0.738217,31998,0.05483,-1.4945288,0.0,756,0.02560119,3.2097497,1046.5335352420807,42.31481481481482
0.01872,30.439110170058694,1,-39.67116564417178,0.1950396,-0.13150893,815,0.014637062416254818,0.80975085,3.2034597,-3.3874104,-16.75,-0.90508884,2.0444853,0.98,0.7392339,32998,0.05179,-1.4531649,0.0,815,0.024677666,3.28292,1084.0658552646637,40.48220858895706
0.01869,30.32952712041014,1,-37.840728100113765,0.20807114,-0.18896115,879,0.015541658412235988,0.8006816,3.1718788,-3.4174063,-15.78,-0.83957416,2.052261,0.97,0.7394685,33998,0.10513,-1.41361,0.0,879,0.025195602,3.2683072,1120.9538435935974,38.66325369738339
0.01865,30.217387439362877,1,-36.51654215581644,0.1891296,-0.21187265,937,0.01580287618223851,0.7971329,3.2527788,-3.4353004,-16.17,-0.8597066,2.04718,0.96,0.739712,34998,0.06071,-1.4316037,0.0,937,0.025823452,3.3310225,1158.2073423862457,37.34791889007471
0.01861,30.127444834871213,1,-34.65483234714004,0.18600786,-0.22307806,1014,0.01578060816780326,0.8016247,3.2587023,-3.4633646,-14.12,-0.8506308,2.0268443,0.98,0.7404982,35998,0.07545,-1.4522941,0.0,1014,0.022802105,3.3465712,1194.8573865890503,35.498027613412226
0.01858,30.040823406495686,1,-33.577819198508855,0.20108618,-0.2465163,1073,0.01630291562523888,0.79709566,3.2777686,-3.5008476,-12.84,-0.83205503,1.9921869,0.98,0.7414593,36998,0.04541,-1.4214754,0.0,1073,0.021259626,3.370388,1231.5907423496246,34.427772600186394
0.01854,29.924129740211544,1,-32.41418563922942,0.20356996,-0.22829829,1142,0.014860328056667116,0.80293757,3.3243406,-3.5284514,-13.07,-0.773567,2.0221572,0.99,0.7421223,37998,0.02305,-1.3611577,0.0,1142,0.021267766,3.4331236,1269.8113639354706,33.2723292469352
0.0185,29.833103050799647,1,-31.06491372226787,0.2339865,-0.19586362,1217,0.012316632243217027,0.80775017,3.3004684,-3.5642247,-10.33,-0.85218596,2.0780492,1.0,0.742891,38998,0.04515,-1.4419376,0.0,1217,0.020839565,3.404419,1307.2056210041046,31.931799506984387
0.01846,29.73880672592137,1,-29.757088122605364,0.23348054,-0.18023263,1305,0.013570819115667418,0.81400084,3.3174598,-3.5866888,-11.78,-0.742625,2.0395882,0.99,0.7435346,39998,0.07215,-1.3012484,0.0,1305,0.02106062,3.4207213,1344.9766283035278,30.632183908045977
0.01843,29.626909193196845,1,-28.739884393063583,0.21456303,-0.21022992,1384,0.01433316035472194,0.8132323,3.3297398,-3.6068246,-12.01,-0.73014486,2.0858617,0.99,0.7442784,40998,0.14277,-1.2977948,0.0,1384,0.020436628,3.438686,1383.8095541000366,29.621387283236995
0.01839,29.540769648136695,1,-28.216909216909215,0.22113425,-0.21808405,1443,0.014808739977091574,0.81774586,3.363521,-3.63,-13.68,-0.7040766,1.9737735,0.97,0.74457216,41998,0.06457,-1.2828994,0.0,1443,0.020292373,3.462021,1421.6962015628815,29.1011781011781
0.01835,29.441825729732795,1,-27.343401181877873,0.22474214,-0.14138936,1523,0.013300021659445044,0.8264426,3.359817,-3.6491694,-12.22,-0.72833663,2.0051486,0.98,0.7452389,42998,0.10779,-1.2899126,0.0,1523,0.017886266,3.4650297,1460.439321756363,28.233092580433354
