reference_Q_mean,train/loss_actor,reference_action_mean,total/steps_per_second,rollout/error,reference_actor_Q_std,total/steps,rollout/actions_std,reference_action_std,total/episodes,reference_Q_std,rollout/return_history,rollout/episodes,rollout/return,rollout/episode_steps,total/duration,train/param_noise_distance,success rate,errors,rollout/actions_mean,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/Q_mean,total/epochs
-0.8232307,1.5335351,-0.09839425,25.814449332354624,0.10618,2.0204003,28998,0.732858,0.86752796,1734,2.0703335,-6.43,1734,-15.762975778546712,16.711649365628606,1123.3243687152863,0.0,1.0,0.013466824743693677,-0.013955751,0.01887,-0.016839154,0.15531072,-2.6049385,1
-0.8270352,1.4350696,-0.08856831,25.679175998197824,0.0261,2.0196111,29998,0.73516023,0.86112833,1870,2.082128,-6.48,1870,-15.088235294117647,16.040641711229945,1168.183901309967,0.0,1.0,0.012759006181621384,-0.012656597,0.01884,-0.030024797,0.15049875,-2.6135063,1
-0.77838254,1.4640229,-0.056780517,25.56604455743144,0.04626,2.0264199,30998,0.7369943,0.8638995,1991,2.0769706,-7.61,1991,-14.60572576594676,15.561024610748367,1212.4675731658936,0.0,1.0,0.01333334239413903,-0.011634568,0.0188,0.009802088,0.1365386,-2.6364694,1
-0.72218555,1.4399202,-0.09926423,25.453709395654496,0.02124,2.0308886,31998,0.7383795,0.85494864,2122,2.0917015,-6.9,2122,-14.119698397737983,15.077756833176249,1257.1055755615234,0.0,1.0,0.013438587420254566,-0.011839435,0.01876,0.061877497,0.14266878,-2.6460445,1
-0.769019,1.3935072,-0.10226327,25.347095066190267,0.01687,2.0689874,32998,0.74004936,0.85983515,2268,2.1335168,-6.39,2268,-13.589506172839506,14.55026455026455,1301.8454349040985,0.0,1.0,0.012855287082719807,-0.009617084,0.01872,0.039446644,0.1565526,-2.6538587,1
-0.7046481,1.3570983,-0.072500765,25.275419104904326,0.01324,2.0783765,33998,0.74144256,0.85912734,2399,2.1422846,-6.91,2399,-13.209670696123386,14.1725719049604,1345.1013357639313,0.0,1.0,0.013726020834074816,-0.009313935,0.01869,0.09500406,0.1457724,-2.6710863,1
-0.69348073,1.387102,-0.06675276,25.18244107820496,0.02571,2.078566,34998,0.7429441,0.85567915,2531,2.137574,-6.67,2531,-12.85894903200316,13.823785065191624,1389.7778968811035,0.0,1.0,0.012567239157350713,-0.0108855255,0.01865,0.07272905,0.13590893,-2.6806943,1
-0.6905036,1.3422346,-0.05312599,25.093788873760946,0.06461,2.105646,35998,0.74430156,0.85579616,2681,2.1623998,-5.72,2681,-12.460276016411786,13.427079447967177,1434.5382509231567,0.0,1.0,0.012811325061409617,-0.01026871,0.01861,0.07579765,0.15083338,-2.6826444,1
-0.60567737,1.3121479,-0.07389863,25.029588920330816,0.14862,2.1116362,36998,0.7453335,0.8574954,2793,2.1681752,-7.62,2793,-12.276763336913714,13.244897959183673,1478.1705012321472,0.0,1.0,0.013480294467241898,-0.008761058,0.01858,0.18403405,0.13671961,-2.7153327,1
-0.61214393,1.3206131,-0.06008376,24.960565106652254,0.0395,2.113214,37998,0.7463847,0.86271167,2930,2.1939023,-5.77,2930,-11.996245733788395,12.965870307167236,1522.3213031291962,0.0,1.0,0.013107211596650091,-0.008232973,0.01854,0.18252435,0.12795211,-2.724274,1
-0.660248,1.2794746,-0.070344955,24.8848398055456,0.12922,2.094675,38998,0.7476927,0.85503983,3074,2.1814752,-5.96,3074,-11.71437865972674,12.685426154847105,1567.1388807296753,0.0,1.0,0.012678341506903182,-0.006822315,0.0185,0.13414499,0.14081766,-2.7425528,1
-0.58116657,1.2644585,-0.08169433,24.82615630567297,0.03797,2.1089451,39998,0.7488146,0.85069245,3227,2.1968918,-5.43,3227,-11.420514409668423,12.392934614192749,1611.123345375061,0.0,1.0,0.013263826595091989,-0.007923893,0.01846,0.2144415,0.12022517,-2.7359498,1
-0.5481946,1.2212127,-0.020838497,24.758643369266014,0.06806,2.1272752,40998,0.74995226,0.85309905,3389,2.2066295,-5.57,3389,-11.123635290646208,12.097373856594865,1655.9065611362457,0.0,1.0,0.012405466849580746,-0.005363497,0.01843,0.22034095,0.12509185,-2.7395813,1
-0.54890746,1.1724402,-0.005880738,24.690338250226652,0.07961,2.1131337,41998,0.750877,0.8563849,3523,2.1883843,-6.38,3523,-10.946636389440817,11.921373829122906,1700.9892523288727,0.0,1.0,0.013037975694977753,-0.0056089046,0.01839,0.23022977,0.11985613,-2.7556531,1
-0.5182502,1.1897906,-0.018784313,24.62921767899244,0.06872,2.1086195,42998,0.75197995,0.8582552,3660,2.198736,-6.0,3660,-10.768032786885247,11.743715846994535,1745.8126587867737,0.0,1.0,0.01315280840466279,-0.0040676487,0.01835,0.25338057,0.1273684,-2.7683263,1
-0.5235002,1.1539167,-0.043458134,24.568741553639125,0.11586,2.1457798,43998,0.75298053,0.8585001,3782,2.2321882,-7.38,3782,-10.656266525647805,11.632734003172924,1790.8121140003204,0.0,1.0,0.012335801522910295,-0.0035273049,0.01832,0.25588292,0.12200285,-2.7839873,1
-0.47544885,1.0826156,-0.042392153,24.516324211327333,0.01812,2.1091948,44998,0.7538139,0.86040133,3936,2.2003458,-4.98,3936,-10.455538617886178,11.432926829268293,1835.4301245212555,0.0,1.0,0.012602389037427502,-0.0023626455,0.01828,0.28385437,0.11963539,-2.7809238,1
-0.4018194,1.0925049,-0.021572918,24.456507389407673,0.06434,2.1558754,45998,0.754832,0.85361546,4064,2.242165,-6.77,4064,-10.340059055118111,11.318159448818898,1880.8082146644592,0.0,1.0,0.012253034895268668,-0.0034940785,0.01824,0.35941458,0.111067,-2.794257,1
-0.46025756,1.0826455,0.033255372,24.405892037746263,0.10832,2.1343577,46998,0.75552744,0.850955,4193,2.2342389,-6.53,4193,-10.229668495110898,11.208442642499405,1925.6825330257416,0.0,1.0,0.01300010521819459,-0.0032056998,0.01821,0.32550752,0.12541848,-2.7988222,1
-0.38542902,1.0519055,-0.0010905316,24.363034123711426,0.1347,2.1738684,47998,0.75639987,0.85361826,4333,2.2633638,-5.69,4333,-10.098084468036003,11.077544426494345,1970.115863084793,0.0,1.0,0.013148133038504171,-0.0024209847,0.01817,0.3852033,0.11010514,-2.8008657,1
-0.3616839,1.0412073,-0.023373634,24.324591137042024,0.03738,2.1763065,48998,0.75697875,0.85473424,4468,2.263201,-6.41,4468,-9.98478066248881,10.964861235452103,2014.340126991272,0.0,1.0,0.012961053520762903,-0.0018740566,0.01814,0.41106653,0.11500252,-2.80053,1
-0.40539438,0.9917534,-0.027874313,24.283646346279014,0.09245,2.1655664,49998,0.75777096,0.85262084,4598,2.2606037,-6.42,4598,-9.892344497607656,10.872988255763376,2058.9164941310883,0.0,1.0,0.013117085512825331,-0.0009801334,0.0181,0.3738892,0.11959239,-2.8101497,1
-0.3601761,0.93485427,-0.016288335,24.227619818943285,0.02313,2.1615415,50998,0.75830764,0.8555904,4734,2.2432864,-6.28,4734,-9.790029573299535,10.771229404309253,2104.952957868576,0.0,1.0,0.012709177753702294,-0.00030215684,0.01806,0.44313687,0.11368932,-2.8085876,1
