total/steps_per_second,rollout/return_history,total/steps,rollout/episodes,rollout/error,reference_action_std,rollout/actions_std,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/return,total/duration,reference_Q_std,success rate,rollout/actions_mean,reference_actor_Q_std,errors,reference_action_mean,total/epochs,rollout/episode_steps,reference_Q_mean,train/loss_actor,train/param_noise_distance,total/episodes,rollout/Q_mean
26.911599814300182,-9.29,40998,2353,0.08417,0.8842535,0.7284093,0.01843,-2.2082915,0.13877673,-16.439864003399915,1523.4322850704193,4.1067576,1.0,-0.012919694,4.047929,0.012407950238996273,-0.23420292,1,17.394815129621758,-2.594509,1.4541626,0.0,2353,-3.150095
26.855883897231617,-10.22,41998,2444,0.02733,0.8936262,0.7302861,0.01839,-2.1815953,0.1323738,-16.213584288052374,1563.8286254405975,4.159227,0.99,-0.012735498,4.100117,0.013379179939335281,-0.1942544,1,17.169803600654664,-2.5794265,1.4458011,0.0,2444,-3.158701
26.79128453922591,-11.75,42998,2524,0.07039,0.88698995,0.73164,0.01835,-2.2510645,0.12767456,-16.078050713153726,1604.9249126911163,4.197334,0.99,-0.011591853,4.1455493,0.012789991463284864,-0.21733993,1,17.03526148969889,-2.630981,1.4726417,0.0,2524,-3.1612744
26.731318821902832,-8.64,43998,2629,0.0586,0.89251494,0.733195,0.01832,-2.2217011,0.12809546,-15.776721186763028,1645.9345045089722,4.231199,1.0,-0.009525989,4.171856,0.012330271291558073,-0.17898653,1,16.735640928109547,-2.6055946,1.4236286,0.0,2629,-3.1600778
26.683783747833765,-9.11,44998,2726,0.12297,0.88584626,0.735032,0.01828,-2.1865997,0.11975817,-15.546588407923698,1686.3425526618958,4.2747664,1.0,-0.009300286,4.2137856,0.013180630316248847,-0.21877897,1,16.50696991929567,-2.58453,1.4092934,0.0,2726,-3.1716354
26.63521256677505,-10.47,45998,2808,0.04478,0.88327134,0.73662776,0.01824,-2.159147,0.109648064,-15.418447293447294,1726.9620013237,4.3200727,1.0,-0.008104375,4.2529073,0.012356844489431506,-0.2452354,1,16.379985754985753,-2.551766,1.4032428,0.0,2808,-3.1928177
26.581077628545675,-9.42,46998,2904,0.11876,0.9027211,0.73825103,0.01821,-2.2125287,0.11987607,-15.22141873278237,1768.0998737812042,4.3521485,1.0,-0.008142946,4.289454,0.012929110275185942,-0.17118506,1,16.18422865013774,-2.6023035,1.3611641,0.0,2904,-3.2045689
26.51148177511128,-9.55,47998,2998,0.08796,0.9004879,0.7395956,0.01817,-2.1623461,0.13647248,-15.046364242828552,1810.460856437683,4.3469405,1.0,-0.008384958,4.2931767,0.013088016482656397,-0.16732676,1,16.010340226817878,-2.5452285,1.3319141,0.0,2998,-3.2126768
26.451171774736714,-9.93,48998,3088,0.01123,0.8929276,0.7412319,0.01814,-2.1740222,0.13042149,-14.902849740932643,1852.3943066596985,4.3654737,1.0,-0.006868214,4.3262305,0.012280932952382518,-0.21878141,1,15.867875647668393,-2.5552876,1.4000518,0.0,3088,-3.227997
26.393501535619443,-9.72,49998,3181,0.11387,0.898307,0.7421974,0.0181,-2.194668,0.110356286,-14.751021691292047,1894.329933166504,4.421444,1.0,-0.0064950096,4.3736486,0.012957364645473295,-0.18920457,1,15.717070103740962,-2.576902,1.3147398,0.0,3181,-3.2277384
