rollout/return_history,reference_Q_mean,total/episodes,reference_action_std,rollout/error,success rate,total/steps,rollout/episodes,train/loss_critic,reference_action_mean,rollout/actions_mean,train/loss_actor,rollout/Q_mean,rollout/episode_steps,rollout/return,total/steps_per_second,errors,reference_Q_std,rollout/actions_std,reference_actor_Q_mean,rollout/goal_tolerance,total/duration,train/param_noise_distance,reference_actor_Q_std,total/epochs
-7.51,-2.6893587,3185,0.8956458,0.19435,1.0,38998,3185,0.107590064,0.06127784,-0.0011410847,0.9405739,-2.3819969,12.244270015698588,-11.262166405023548,25.934196482699846,0.012707540040878923,3.2251766,0.74622965,-1.9042869,0.0185,1503.7288711071014,0.0,3.3604536,1
-7.12,-2.7013412,3302,0.8947076,0.10838,1.0,39998,3302,0.110460244,0.075606585,-0.0018920318,0.898184,-2.3955061,12.112053301029679,-11.12931556632344,25.90326648587258,0.012353397475975367,3.257509,0.7477065,-1.9449818,0.01846,1544.1295800209045,0.0,3.383924,1
-7.76,-2.7063894,3419,0.8988057,0.12586,1.0,40998,3419,0.1209353,0.037788052,-0.0014622649,0.9306268,-2.4136806,11.988885639075754,-11.005557180462123,25.86989888407728,0.0124212692231848,3.289932,0.7489541,-1.9430743,0.01843,1584.7761981487274,0.0,3.4074223,1
-8.04,-2.7090662,3530,0.8941641,0.05212,1.0,41998,3530,0.11313179,0.037432183,-0.00031064582,0.95700717,-2.4334223,11.891784702549575,-10.907932011331445,25.841074614035765,0.013081365052120052,3.308719,0.75032365,-1.9285668,0.01839,1625.2420082092285,0.0,3.4231799,1
-6.84,-2.7287326,3652,0.8940836,0.03525,1.0,42998,3652,0.118508905,0.043254137,0.0006988918,0.8787782,-2.4336445,11.77327491785323,-10.788882803943045,25.800151179134364,0.011926740565195796,3.335336,0.75133175,-1.94361,0.01835,1666.5793817043304,0.0,3.4496768,1
-9.15,-2.7513523,3751,0.89194924,0.11161,1.0,43998,3751,0.118377656,0.08340343,0.0010519673,0.9043669,-2.457145,11.726472940549186,-10.741668888296454,25.76218751413072,0.012298362696644796,3.3910081,0.75256544,-1.972909,0.01832,1707.8518652915955,0.0,3.5023165,1
-7.4,-2.7157903,3870,0.8907905,0.04085,1.0,44998,3870,0.12254722,0.07225264,0.0006221595,0.8668974,-2.461929,11.62687338501292,-10.641602067183463,25.715378200440785,0.012078040043087776,3.4042053,0.7536208,-1.9489639,0.01828,1749.8478789329529,0.0,3.5077212,1
-8.11,-2.666786,3979,0.8847016,0.02008,1.0,45998,3979,0.113542356,0.07402546,0.0021851154,0.8479213,-2.4782066,11.551394822819804,-10.565720030158332,25.68993260547429,0.01301894470298206,3.4104722,0.7546775,-1.8943146,0.01824,1790.5068380832672,0.0,3.503274,1
-7.75,-2.6832917,4093,0.89012015,0.01545,1.0,46998,4093,0.10841151,0.080085926,0.0020410186,0.8487758,-2.4909372,11.48301978988517,-10.496946005375031,25.657194386132094,0.012552234882413195,3.4428813,0.7557823,-1.9044312,0.01821,1831.7669224739075,0.0,3.5371864,1
-7.32,-2.6873174,4212,0.89117885,0.02544,1.0,47998,4212,0.11235768,0.036724698,0.001616608,0.8371375,-2.495917,11.394586894586894,-10.408119658119658,25.619352119725903,0.011971326337838714,3.4397993,0.75689024,-1.9139434,0.01817,1873.5056130886078,0.0,3.5207648,1
