rollout/error,reference_actor_Q_mean,rollout/return_history,total/steps,rollout/episode_steps,total/episodes,total/epochs,reference_actor_Q_std,total/duration,train/param_noise_distance,success rate,reference_Q_std,train/loss_actor,rollout/goal_tolerance,rollout/return,reference_action_std,reference_action_mean,reference_Q_mean,rollout/actions_mean,rollout/actions_std,total/steps_per_second,rollout/Q_mean,train/loss_critic,errors,rollout/episodes
0.07195,-2.4863305,-13.65,2263998,12.783215796100663,177107,1,2.3581967,98365.64495587349,0.0,1.0,2.4340785,2.231354,0.001,-11.783678793046011,0.86292636,-0.04788517,-3.1748486,0.0051138336,0.7193147,23.016145535523325,-3.8775039,0.042042047,0.0006606230394104168,177107
0.00364,-2.4334006,-14.79,2264998,12.784170184905063,177172,1,2.3556883,98411.47168302536,0.0,1.0,2.4279723,2.1962028,0.001,-11.784633011988351,0.8616755,-0.036702603,-3.1131802,0.0051043783,0.71929556,23.015589150981892,-3.8772588,0.045579337,0.0006430443483390597,177172
0.00593,-2.4850614,-14.51,2265998,12.785189155640817,177235,1,2.3675423,98456.33156347275,0.0,1.0,2.4408457,2.1508057,0.001,-11.785651818207464,0.8599137,-0.06313292,-3.1761577,0.0051199314,0.7192752,23.015259293295507,-3.8771636,0.044661984,0.0006707777529236208,177235
0.03467,-2.479145,-15.98,2266998,12.786737209026866,177293,1,2.3516426,98500.03830814362,0.0,1.0,2.4192746,2.1596224,0.001,-11.78719972023712,0.86294866,-0.06202015,-3.1716404,0.005130992,0.7192623,23.01519917086746,-3.8770587,0.04720604,0.0006973041666517277,177293
0.06976,-2.4643674,-14.85,2267998,12.787750131091528,177357,1,2.3687365,98544.92127990723,0.0,1.0,2.4231415,2.1800218,0.001,-11.78821247540272,0.8617465,-0.055411562,-3.1637802,0.005130664,0.71924466,23.01486439425907,-3.8768797,0.058914285,0.000681810545914719,177357
0.06228,-2.4712691,-13.42,2268998,12.788629433613455,177423,1,2.3535724,98588.95613622665,0.0,1.0,2.42577,2.1218975,0.001,-11.789091605936097,0.86281115,-0.054482613,-3.1551824,0.0051448904,0.7192293,23.01472790588005,-3.8768823,0.045976926,0.0006562046490352424,177423
0.03044,-2.4702158,-15.39,2269998,12.78997870206556,177482,1,2.3496838,98632.92602014542,0.0,1.0,2.4218307,2.1680899,0.001,-11.790440720749146,0.8647191,-0.04507954,-3.1549897,0.0051926505,0.7192144,23.014606699758264,-3.876757,0.04682953,0.0006707177887258914,177482
0.02636,-2.4718814,-15.34,2270998,12.790962393056487,177547,1,2.3280818,98677.41535520554,0.0,1.0,2.3873723,2.1481493,0.001,-11.79142424259492,0.8647502,-0.052631218,-3.1740732,0.0051957476,0.71919966,23.01436445031693,-3.8766253,0.06103225,0.0006832804731034183,177547
0.00406,-2.4865782,-12.96,2271998,12.791265524890495,177618,1,2.3655753,98721.58067369461,0.0,1.0,2.4252203,2.1622748,0.001,-11.791727189811843,0.8621594,-0.046465915,-3.1798372,0.005232538,0.7191885,23.014197954443787,-3.8764343,0.048361234,0.0007277147141932456,177618
0.1121,-2.5006075,-13.46,2272998,12.792284098263782,177685,1,2.3793523,98765.88935899734,0.0,1.0,2.4427152,2.134199,0.001,-11.792745589104314,0.86220205,-0.043240447,-3.1907003,0.0052578365,0.7191732,23.013998200715186,-3.8762279,0.04652885,0.0007099068463983182,177685
0.09941,-2.4657178,-13.28,2273998,12.793101508306657,177749,1,2.3482914,98809.87668633461,0.0,0.99,2.4143844,2.1640966,0.001,-11.793568458894283,0.86366093,-0.050493736,-3.1494448,0.005291747,0.71915543,23.01387347358661,-3.8764174,0.047213644,0.000771612851949768,177749
0.0031,-2.4277987,-16.32,2274998,12.794552367239964,177802,1,2.3619106,98854.16460227966,0.0,0.99,2.4283142,2.181767,0.001,-11.795019178636911,0.86376065,-0.04869965,-3.1251714,0.0053045405,0.7191305,23.013678878912266,-3.8762963,0.045342132,0.000776445978895964,177802
0.16475,-2.4767895,-15.81,2275998,12.795845280260865,177870,1,2.3605902,98899.88566994667,0.0,1.0,2.4410355,2.1707666,0.001,-11.79631191319503,0.86253315,-0.050788265,-3.1605978,0.005297927,0.719118,23.01315097163577,-3.876156,0.044905405,0.0006753678187269518,177870
0.1005,-2.4802904,-14.21,2276998,12.796674085064293,177936,1,2.3689692,98944.77273440361,0.0,1.0,2.424676,2.1658168,0.001,-11.797140544915026,0.8599357,-0.04965706,-3.1806104,0.0052937996,0.7191079,23.012817525106872,-3.8761747,0.048927937,0.000690212673252023,177936
0.00257,-2.4714231,-14.47,2277998,12.797883098496595,177996,1,2.337159,98988.83995318413,0.0,1.0,2.404955,2.1870644,0.001,-11.798349401110137,0.8630749,-0.050653357,-3.1659887,0.0053193755,0.7190938,23.012674975051315,-3.8760436,0.053694252,0.000663106525809339,177996
0.04403,-2.4600427,-13.8,2278998,12.798236648509013,178070,1,2.348984,99032.48983860016,0.0,1.0,2.41437,2.1519668,0.001,-11.798702757342618,0.8593338,-0.064912684,-3.1360774,0.005322131,0.7190813,23.012629529099335,-3.875807,0.044144988,0.0006487313858131959,178070
0.00311,-2.5039077,-13.62,2279998,12.799367884490154,178132,1,2.354872,99076.18227553368,0.0,1.0,2.416269,2.1878572,0.001,-11.79983383109155,0.85928303,-0.0690824,-3.1911912,0.0053378404,0.7190644,23.012574239682156,-3.8757565,0.04758251,0.0006541102880178194,178132
0.00131,-2.5250106,-13.8,2280998,12.800482617357389,178195,1,2.3571806,99120.36262655258,0.0,1.0,2.4309669,2.1816208,0.001,-11.800948399225568,0.86057276,-0.01933861,-3.1930506,0.0053411503,0.71905625,23.012405721253497,-3.8758159,0.083440825,0.0006490254832254136,178195
0.00121,-2.4853249,-13.61,2281998,12.80105572571326,178266,1,2.3541956,99165.77962851524,0.0,1.0,2.4222329,2.181741,0.001,-11.801521322069267,0.85976344,-0.04803631,-3.187337,0.005335242,0.7190414,23.011950377928645,-3.8757112,0.04560528,0.0006656720774935987,178266
0.03867,-2.4665737,-13.73,2282998,12.802135378990517,178329,1,2.359387,99209.64385700226,0.0,1.0,2.4358234,2.1780295,0.001,-11.802600810860824,0.85997075,-0.04639707,-3.1502714,0.005368734,0.7190297,23.011855614466707,-3.875831,0.047827836,0.0006523012162434662,178329
0.04513,-2.481954,-13.75,2283998,12.802590792652508,178401,1,2.3892083,99254.81936717033,0.0,1.0,2.4505982,2.2006845,0.001,-11.803056036681408,0.85983956,-0.064335085,-3.1939662,0.0053705284,0.7190198,23.01145692030203,-3.8758276,0.045666162,0.0006464163715723338,178401
