reference_actor_Q_std,total/epochs,total/duration,success rate,reference_action_mean,total/steps_per_second,rollout/error,rollout/return_history,total/episodes,reference_Q_mean,errors,total/steps,reference_actor_Q_mean,reference_Q_std,rollout/goal_tolerance,train/loss_critic,train/loss_actor,rollout/Q_mean,rollout/episode_steps,rollout/actions_mean,rollout/actions_std,rollout/episodes,reference_action_std,rollout/return,train/param_noise_distance
3.4397671,1,1625.5402817726135,1.0,-0.024092177,25.22115290510835,0.05619,-8.63,2963,-3.592312,0.013356446979491416,40998,-2.8495362,3.2513406,0.01843,0.092238836,1.4523033,-2.9784567,13.83698953763078,-0.008045892,0.7470011,2963,0.8959556,-12.85926425919676,0.0
3.455393,1,1666.710146188736,0.99,-0.045926426,25.198142638080636,0.04948,-9.73,3054,-3.544925,0.01334108550930909,41998,-2.7881784,3.2733374,0.01839,0.093978815,1.402656,-2.9871185,13.751146037982974,-0.007977263,0.7476219,3054,0.8984373,-12.773084479371317,0.0
3.4736738,1,1708.8513238430023,1.0,-0.09005048,25.16193152678879,0.02639,-9.55,3148,-3.571601,0.01312985301156735,42998,-2.8185987,3.3002565,0.01835,0.08765258,1.3485452,-3.0122178,13.650254129606099,-0.008213851,0.7485249,3148,0.89548063,-12.6715374841169,0.0
3.5313475,1,1750.801397562027,1.0,-0.046248436,25.130206122331614,0.16251,-8.19,3256,-3.5843728,0.012579126317283251,43998,-2.8427691,3.355521,0.01832,0.08434112,1.3789448,-3.0224226,13.511670761670763,-0.0073637716,0.7496101,3256,0.8944664,-12.532248157248157,0.0
3.5377662,1,1792.7899639606476,1.0,-0.05060053,25.099426538840063,0.00953,-10.52,3338,-3.6080544,0.013465797939491143,44998,-2.8621457,3.3714821,0.01828,0.0908,1.4138196,-3.050289,13.481126423007789,-0.008039012,0.75056106,3338,0.89378136,-12.501198322348712,0.0
3.5331395,1,1834.6906015872955,1.0,-0.06918492,25.071257224626596,0.02717,-8.38,3442,-3.5776515,0.01239968301731558,45998,-2.8442638,3.365594,0.01824,0.087882854,1.382522,-3.0595992,13.363742010459035,-0.00715034,0.7515866,3442,0.89212334,-12.383207437536315,0.0
3.5776477,1,1876.9865746498108,1.0,-0.073587336,25.039070942086205,0.20605,-9.03,3541,-3.5483513,0.013452128266273854,46998,-2.800787,3.4236193,0.01821,0.084527045,1.3873922,-3.0729172,13.272804292572719,-0.007595672,0.7524565,3541,0.89056104,-12.291725501270827,0.0
3.5975156,1,1918.9013366699219,1.0,-0.052725438,25.013271439633343,0.02546,-8.78,3641,-3.5877285,0.01260833449305244,47998,-2.8301256,3.4495993,0.01817,0.081612214,1.2970958,-3.0832992,13.176874485031584,-0.006941268,0.75313574,3641,0.89235926,-12.195276023070585,0.0
3.5686362,1,1960.2220182418823,1.0,-0.05027744,24.99614816282197,0.07263,-9.96,3734,-3.5068727,0.01232522697344487,48998,-2.7612395,3.4262757,0.01814,0.07959992,1.3220756,-3.0967214,13.121585431173004,-0.005299417,0.75399745,3734,0.88894296,-12.139528655597214,0.0
3.6223927,1,2002.4300389289856,1.0,-0.034215223,24.96866258895207,0.05743,-9.16,3831,-3.5628858,0.012680324072723292,49998,-2.8016899,3.4828632,0.0181,0.07651235,1.2896721,-3.1105056,13.045679979117724,-0.0043483893,0.7547827,3831,0.8870875,-12.06316888540851,0.0
3.6008615,1,2044.7962265014648,1.0,-0.054339785,24.94038248850586,0.00603,-7.68,3951,-3.5276575,0.013550131447760828,50998,-2.772251,3.4571202,0.01806,0.07585416,1.3040035,-3.111604,12.908124525436598,-0.0041999887,0.7555275,3951,0.88672006,-11.925082257656289,0.0
3.6008482,1,2087.4552013874054,1.0,-0.031068906,24.909756130545972,0.04322,-8.98,4049,-3.501946,0.012411882605598692,51998,-2.7539506,3.467475,0.01803,0.077443555,1.294633,-3.1276574,12.83996048407014,-0.0039221407,0.7563952,4049,0.8850735,-11.85650777969869,0.0
3.6214144,1,2129.9676671028137,1.0,-0.03788229,24.882067844761224,0.12832,-8.07,4158,-3.5300865,0.012749152810651344,52998,-2.7779975,3.4967785,0.01799,0.080189854,1.2988162,-3.131949,12.744107744107744,-0.0036699465,0.7571962,4158,0.88460636,-11.760221260221261,0.0
3.6141841,1,2172.2050127983093,1.0,-0.032318357,24.858611264522366,0.11007,-8.96,4258,-3.5202086,0.012500168166508976,53998,-2.7598681,3.4945393,0.01796,0.077350706,1.2853891,-3.1417136,12.678722404884923,-0.003371105,0.7578717,4258,0.88214207,-11.69445749178018,0.0
3.5970995,1,2214.716758966446,1.0,-0.051288646,24.83297233261838,0.19584,-8.3,4363,-3.5088286,0.012217935065061858,54998,-2.7406583,3.4846847,0.01792,0.081186876,1.2804943,-3.148256,12.605775842310337,-0.0036563133,0.75845295,4363,0.87982494,-11.621132248452898,0.0
3.6171515,1,2257.041829109192,1.0,-0.013104282,24.810350999166577,0.09117,-8.73,4465,-3.5000143,0.012962999896445736,55998,-2.7237642,3.5078776,0.01788,0.08311472,1.2638165,-3.154882,12.541097424412094,-0.0031158717,0.7590727,4465,0.8800796,-11.556103023516238,0.0
3.5988655,1,2298.442409992218,1.0,-0.03509509,24.798533020539324,0.08107,-8.91,4565,-3.4821885,0.011991163172898882,56998,-2.7117639,3.4934394,0.01785,0.07510995,1.2794563,-3.1654422,12.483461117196057,-0.002227714,0.7596893,4565,0.88264614,-11.498138006571741,0.0
3.640921,1,2340.475650072098,1.0,-0.016549792,24.780432985155553,0.11464,-7.87,4680,-3.5235536,0.012217516798341693,57998,-2.7677433,3.519181,0.01781,0.071170695,1.2877855,-3.1649911,12.391239316239316,-0.002228501,0.7602419,4680,0.87909555,-11.405555555555555,0.0
3.627002,1,2383.302037715912,1.0,-0.0140316775,24.754730649474034,0.19453,-7.68,4793,-3.4598265,0.01211063101786106,58998,-2.6921425,3.5210907,0.01778,0.08084744,1.2567856,-3.1671197,12.309200918005425,-0.0024954742,0.76079345,4793,0.87687093,-11.323179636970583,0.0
3.6099908,1,2426.6984322071075,1.0,-0.020190582,24.724126905802297,0.05011,-9.61,4888,-3.504238,0.011662272644142442,59998,-2.7379127,3.5005255,0.01774,0.085446976,1.3066558,-3.171419,12.272708674304418,-0.002441853,0.7613519,4888,0.88044447,-11.286415711947626,0.0
3.6039615,1,2471.133899450302,1.0,-0.024698533,24.684214810686246,0.05246,-8.47,4998,-3.4973092,0.012090031855650961,60998,-2.7383122,3.5011039,0.01771,0.0828835,1.2382301,-3.1785436,12.203481392557023,-0.0029187738,0.76172036,4998,0.8799477,-11.21688675470188,0.0
3.6087198,1,2515.0651190280914,1.0,-0.026349492,24.650653985435646,0.02545,-8.87,5097,-3.451901,0.012154515846342553,61998,-2.6839557,3.5049047,0.01767,0.0735617,1.2682912,-3.1797438,12.158917010005887,-0.0040006256,0.76215976,5097,0.8743229,-11.172061997253286,0.0
3.6110492,1,2558.8841886520386,1.0,0.0034124616,24.619324422488187,0.01617,-8.69,5201,-3.4163034,0.01245156690729309,62998,-2.661344,3.5038624,0.01764,0.07793227,1.2436846,-3.183253,12.113055181695827,-0.0025862427,0.7627319,5201,0.8757181,-11.125937319746203,0.0
