rollout/goal_tolerance,reference_actor_Q_mean,rollout/Q_mean,rollout/return,rollout/actions_mean,rollout/error,total/episodes,success rate,total/duration,train/loss_critic,rollout/episodes,reference_action_std,reference_Q_std,reference_actor_Q_std,reference_Q_mean,rollout/return_history,train/param_noise_distance,rollout/episode_steps,train/loss_actor,reference_action_mean,total/steps_per_second,errors,total/epochs,total/steps,rollout/actions_std
0.01887,-2.1066046,-2.4288456,-9.298121233605105,0.0009432213,0.1139,2821,1.0,1164.3925695419312,0.105201885,2821,0.8632542,3.5750806,3.5597577,-2.561091,-4.32,0.0,10.278270116979794,1.3486902,-0.06473363,24.903972043902456,0.01281427792338178,1,28998,0.7460148
0.01884,-2.1086512,-2.4591286,-9.051505016722407,0.0021891308,0.07254,2990,1.0,1210.7498664855957,0.10937216,2990,0.85163647,3.6430247,3.6421728,-2.5481277,-5.04,0.0,10.032775919732442,1.3116542,-0.15773314,24.776381010120794,0.012496599676015392,1,29998,0.74788046
0.0188,-2.1071103,-2.4907904,-8.992277992277993,0.0031289181,0.11729,3108,0.99,1256.1598720550537,0.08681807,3108,0.8524725,3.7416892,3.7366304,-2.5638556,-7.5,0.0,9.973938223938225,1.2902228,-0.10453579,24.676795278683645,0.01331928812869971,1,30998,0.7487078
0.01876,-2.0863187,-2.5248268,-8.868226600985222,0.0021752478,0.03236,3248,1.0,1301.5524816513062,0.083624564,3248,0.8556379,3.77078,3.7694962,-2.5343142,-5.52,0.0,9.850677339901479,1.2998036,-0.09584438,24.584486950079405,0.012751094499142896,1,31998,0.75008553
0.01872,-2.1028433,-2.5468197,-8.701996476805638,0.003983924,0.10479,3406,1.0,1346.534536600113,0.086399734,3406,0.84740615,3.8454747,3.8353786,-2.543824,-5.18,0.0,9.685261303581914,1.2866548,-0.11544475,24.505869773914,0.012611755658898847,1,32998,0.7513599
0.01869,-2.068717,-2.564688,-8.539237668161435,0.004036468,0.03629,3568,1.0,1392.0006818771362,0.08455992,3568,0.8599527,3.8976464,3.8849053,-2.5180497,-4.97,0.0,9.523262331838565,1.2678845,-0.08733662,24.423838610591144,0.013025696347746665,1,33998,0.7524295
0.01865,-2.0715356,-2.584885,-8.492686890574214,0.0040139584,0.02177,3692,0.99,1437.2624955177307,0.09117198,3692,0.8546298,3.9760015,3.957165,-2.5041108,-7.71,0.0,9.476977248104008,1.2228155,-0.11010989,24.350457977680005,0.013741467610304868,1,34998,0.7529664
0.01861,-2.0584693,-2.5959265,-8.360591900311526,0.005317826,0.05853,3852,1.0,1483.4265224933624,0.09470787,3852,0.84883153,4.0115166,3.9902859,-2.506719,-5.03,0.0,9.345534787123572,1.1840123,-0.122349195,24.266790066213794,0.012814243238783876,1,35998,0.7539581
0.01858,-2.074984,-2.60667,-8.229140722291406,0.0065895272,0.05776,4015,1.0,1530.4081542491913,0.08422723,4015,0.85303354,4.0681953,4.0578394,-2.5235856,-5.14,0.0,9.214694894146948,1.1628082,-0.100115985,24.175250175761764,0.012357603413438133,1,36998,0.7549405
0.01854,-2.029548,-2.61628,-8.136134453781512,0.006909325,0.02566,4165,1.0,1575.205293416977,0.079598814,4165,0.84758675,4.10379,4.0907135,-2.4650273,-6.36,0.0,9.122208883553421,1.1479658,-0.14122982,24.122570028680983,0.012922356368446583,1,37998,0.7554745
0.0185,-2.0211167,-2.618126,-8.025652877282182,0.008067516,0.06857,4327,1.0,1621.2617707252502,0.08146904,4327,0.85189265,4.111876,4.0984054,-2.465321,-5.23,0.0,9.012248671134735,1.1175895,-0.10294008,24.054104466149692,0.012774818366474705,1,38998,0.75606096
0.01846,-2.026447,-2.6254272,-7.93064228367529,0.006976719,0.07208,4484,1.0,1666.1030027866364,0.083105,4484,0.8493656,4.1585526,4.1405725,-2.4794512,-5.43,0.0,8.91770740410348,1.1166633,-0.14818017,24.006919099900454,0.013015276090683165,1,39998,0.75664204
0.01843,-1.9996345,-2.6336718,-7.831361583136158,0.0068410113,0.07203,4649,1.0,1710.7346670627594,0.07390312,4649,0.8504363,4.250793,4.2257595,-2.4480124,-5.75,0.0,8.818885781888579,1.1259141,-0.089043975,23.965142455662857,0.012990982990074097,1,40998,0.757299
0.01839,-2.03403,-2.641246,-7.760833333333333,0.0071535753,0.04493,4800,1.0,1755.6560626029968,0.07039583,4800,0.85688657,4.2457447,4.2279882,-2.4719594,-5.73,0.0,8.74875,1.1182103,-0.065804124,23.921541863804634,0.013223027823659868,1,41998,0.7577527
0.01835,-1.974812,-2.6571507,-7.748069890288501,0.0064975554,0.19356,4922,1.0,1799.7422046661377,0.081641786,4922,0.8518755,4.263419,4.2417164,-2.425482,-6.11,0.0,8.736082893132872,1.0717677,-0.08842795,23.8911994665238,0.012842322507732033,1,42998,0.75780046
0.01832,-1.950016,-2.667078,-7.670340484156662,0.006516012,0.19193,5081,1.0,1844.8542265892029,0.07875174,5081,0.851968,4.282547,4.255368,-2.4210002,-4.72,0.0,8.658728596732926,1.1145585,-0.11121721,23.84903878359226,0.01272140171927389,1,43998,0.7581406
0.01828,-1.9447448,-2.678498,-7.628303332056683,0.0066486397,0.05793,5222,1.0,1889.502345085144,0.08067452,5222,0.85791105,4.297312,4.2669864,-2.4038672,-6.1,0.0,8.617004978935274,1.0204268,-0.12023121,23.814736254255518,0.012279813658369873,1,44998,0.758371
0.01824,-1.9485965,-2.6912003,-7.584715750232991,0.006358065,0.13841,5365,1.0,1934.1268863677979,0.06934944,5365,0.8483257,4.3286858,4.2879124,-2.4124103,-6.54,0.0,8.573718546132339,0.9841202,-0.14961828,23.782307316135885,0.01190673391998878,1,45998,0.7588324
0.01821,-1.9141498,-2.6968846,-7.51810282404055,0.0062678354,0.04703,5524,1.0,1979.4612658023834,0.07102439,5524,0.8565677,4.3297467,4.294801,-2.38026,-5.15,0.0,8.507422157856626,1.0101279,-0.13464405,23.74282377329023,0.012756885900456445,1,46998,0.75939816
0.01817,-1.9007303,-2.709318,-7.4706504494976205,0.0064584063,0.1095,5673,1.0,2025.3901505470276,0.06787094,5673,0.8606598,4.383231,4.3411684,-2.37982,-5.79,0.0,8.46025030847876,0.9679522,-0.07465589,23.69815019937589,0.012756833252194111,1,47998,0.7598022
0.01814,-1.8861716,-2.7267418,-7.468669083376489,0.005884068,0.01756,5793,1.0,2071.0200283527374,0.07780321,5793,0.86087704,4.365214,4.322915,-2.3716297,-7.22,0.0,8.458484377697221,1.0088677,-0.11367139,23.658873081479747,0.012523420900919246,1,48998,0.7598978
0.0181,-1.8912883,-2.7322862,-7.43018359440795,0.0067626084,0.03177,5937,1.0,2117.2048671245575,0.066092364,5937,0.8633322,4.3888283,4.3476963,-2.364633,-5.81,0.0,8.420245915445511,0.9498539,-0.093167186,23.615097800102763,0.012015862181675328,1,49998,0.76040375
0.01806,-1.8907628,-2.7374072,-7.386662286465177,0.008031467,0.09991,6088,1.0,2163.60724568367,0.08580696,6088,0.86180675,4.4018035,4.374147,-2.3687174,-5.18,0.0,8.376971090670171,0.97063744,-0.123806216,23.570821414903026,0.012943800163485557,1,50998,0.76079607
0.01803,-1.8686298,-2.742795,-7.338993912207626,0.008588738,0.04392,6242,1.0,2209.0970437526703,0.07768978,6242,0.8622254,4.421981,4.387524,-2.358324,-5.2,0.0,8.329541813521308,0.9735128,-0.098109834,23.538123934867606,0.012344492268338093,1,51998,0.7610679
0.01799,-1.8461888,-2.7457285,-7.288548664271207,0.008880261,0.02867,6401,1.0,2255.0433070659637,0.08512101,6401,0.863905,4.432922,4.401813,-2.32585,-4.85,0.0,8.279331354475863,0.96300215,-0.09130373,23.501987670895634,0.011958395587859017,1,52998,0.7612977
0.01796,-1.8199278,-2.7507153,-7.249504043949337,0.009777131,0.01507,6553,1.0,2300.744234085083,0.068521425,6553,0.8639379,4.4511256,4.413308,-2.3014112,-5.39,0.0,8.240500534106516,0.9256154,-0.059633892,23.469796946583642,0.011517072491960401,1,53998,0.7615355
0.01792,-1.8178421,-2.7559097,-7.203993443600059,0.009730699,0.05473,6711,1.0,2345.961552143097,0.06447394,6711,0.8604501,4.43826,4.403035,-2.2942443,-5.21,0.0,8.195201907316346,0.9260076,-0.096165925,23.4436919691876,0.012406164826267291,1,54998,0.76204157
0.01788,-1.7697229,-2.7641768,-7.182043795620438,0.01057434,0.04122,6850,1.0,2393.1946880817413,0.08325263,6850,0.8625717,4.4479985,4.4120097,-2.2537081,-6.06,0.0,8.173430656934306,0.8774133,-0.102457464,23.398848526145212,0.012311996946503869,1,55998,0.7622016
0.01785,-1.7875831,-2.7745626,-7.144774414620217,0.010129321,0.06552,7004,1.0,2440.114245414734,0.06507999,7004,0.8662178,4.4886703,4.4354396,-2.2789547,-5.26,0.0,8.136350656767561,0.8836502,-0.0779173,23.358742365078214,0.01215598936148935,1,56998,0.76245326
0.01781,-1.7493892,-2.7788014,-7.090579710144928,0.011367441,0.12077,7176,1.0,2485.2841370105743,0.06787934,7176,0.8634483,4.4915385,4.4507723,-2.240511,-5.84,0.0,8.082357859531772,0.92593133,-0.101738535,23.33656708957348,0.012137210703948525,1,57998,0.76276565
0.01778,-1.7385963,-2.786631,-7.056495633187773,0.011534418,0.0178,7328,1.0,2531.0387122631073,0.06788797,7328,0.87196493,4.4658923,4.416821,-2.2380533,-5.59,0.0,8.048444323144105,0.89527375,-0.098142624,23.30979756024649,0.012150708760619758,1,58998,0.7630873
0.01774,-1.7406836,-2.785193,-7.014680368343788,0.011724328,0.03278,7493,1.0,2576.088862657547,0.07461084,7493,0.8698599,4.5169554,4.4612474,-2.234158,-4.75,0.0,8.006806352595756,0.8949169,-0.11980906,23.29034563586631,0.011804396119802617,1,59998,0.7632544
0.01771,-1.7195628,-2.799005,-7.0214135575407255,0.011469928,0.12608,7612,0.99,2621.1207048892975,0.0615294,7612,0.8649114,4.4943414,4.4348884,-2.206321,-7.75,0.0,8.01353126642144,0.86805594,-0.090147406,23.271724909966036,0.012415925332663563,1,60998,0.76339287
0.01767,-1.7012405,-2.7974489,-6.973528655872526,0.011856723,0.15392,7782,1.0,2667.275299549103,0.07513812,7782,0.87142706,4.5027547,4.441428,-2.1954181,-4.51,0.0,7.965818555641223,0.9027767,-0.04558308,23.243944864064325,0.011355651407464147,1,61998,0.7637838
0.01764,-1.6792746,-2.8056304,-6.965512885295603,0.012265903,0.13781,7916,1.0,2713.3361880779266,0.07415924,7916,0.87296826,4.500614,4.444841,-2.163103,-6.38,0.0,7.957933299646286,0.86866575,-0.10926685,23.21791168997253,0.01167482894203965,1,62998,0.76411223
0.0176,-1.7065376,-2.8015857,-6.921231606281687,0.012394816,0.06519,8087,1.0,2759.555679798126,0.06821669,8087,0.8719801,4.4938626,4.443753,-2.1993906,-4.32,0.0,7.913812291331767,0.85045224,-0.10742924,23.1914146427666,0.012081900689356582,1,63998,0.7643815
0.01757,-1.6918037,-2.7973993,-6.882695104217159,0.011659541,0.02444,8252,1.0,2804.7731046676636,0.07452066,8252,0.8720017,4.50764,4.452462,-2.1696954,-4.88,0.0,7.87542413960252,0.7878288,-0.09617674,23.174067054419215,0.011920817307397781,1,64998,0.76452416
