rollout/episodes,reference_actor_Q_std,rollout/return_history,reference_Q_mean,total/steps,total/steps_per_second,train/loss_critic,rollout/goal_tolerance,success rate,reference_actor_Q_mean,reference_Q_std,rollout/return,rollout/actions_std,rollout/actions_mean,rollout/Q_mean,reference_action_std,train/loss_actor,reference_action_mean,total/episodes,rollout/error,errors,train/param_noise_distance,rollout/episode_steps,total/duration,total/epochs
173511,2.6812215,-13.34,-2.783853,2289998,24.221844134198133,0.053472854,0.001,1.0,-2.0801225,2.6552758,-12.199191982064537,0.68999344,-0.0017791017,-3.6869276,0.85253507,1.7793239,-0.12478272,173511,0.00649,0.0006863218747790538,0.0,13.197987447481715,94542.67756462097,1
173566,2.7024038,-14.83,-2.8035257,2290998,24.221239831847058,0.07979741,0.001,1.0,-2.1188054,2.6601818,-12.200730557828146,0.68997335,-0.0017848036,-3.686853,0.8520225,1.7706605,-0.13329506,173566,0.068,0.0006822750288971549,0.0,13.199526404941059,94586.32241392136,1
173622,2.6853101,-16.79,-2.796185,2291998,24.22098720254975,0.058058728,0.001,0.99,-2.102954,2.656254,-12.202249714897881,0.68994814,-0.001783764,-3.6870568,0.85263133,1.7630969,-0.1273856,173622,0.00661,0.0012500395605964335,0.0,13.201040190759235,94628.59547519684,1
173677,2.672847,-16.88,-2.8174503,2292998,24.220813655655352,0.055868868,0.001,0.99,-2.1223242,2.635281,-12.203728760860677,0.6899307,-0.001791498,-3.6871352,0.8569397,1.8050174,-0.11882005,173677,0.00391,0.0012466395104019444,0.0,13.202519619753911,94670.56031227112,1
173735,2.6666596,-16.17,-2.8189573,2293998,24.22044471214919,0.06883544,0.001,1.0,-2.1145973,2.6373334,-12.204909776383573,0.68991226,-0.0017888228,-3.6871648,0.84907454,1.8018978,-0.12082717,173735,0.00172,0.0006695719683341342,0.0,13.203701038938613,94713.28983688354,1
173798,2.662915,-16.08,-2.8449907,2294998,24.220170777025547,0.056471772,0.001,1.0,-2.163972,2.6391327,-12.206164627901357,0.68988734,-0.0017672642,-3.6870828,0.85153747,1.8183472,-0.12760173,173798,0.00219,0.00069824163503899,0.0,13.204956328611376,94755.64896416664,1
173846,2.6938167,-17.32,-2.7792397,2295998,24.220022630462342,0.05659987,0.001,1.0,-2.0794024,2.6623359,-12.208120980638036,0.6898626,-0.0017665485,-3.6870291,0.8505161,1.8042465,-0.13444424,173846,0.0378,0.0006928428328246799,0.0,13.20691301496727,94797.51670885086,1
173902,2.668142,-17.88,-2.823002,2296998,24.219606369664074,0.054803323,0.001,1.0,-2.1182451,2.63578,-12.209767570240711,0.6898339,-0.0017823078,-3.6868725,0.84661454,1.7853526,-0.15863617,173902,0.04542,0.0006598611626019445,0.0,13.208559993559591,94840.43485021591,1
173952,2.6770477,-16.79,-2.846944,2297998,24.219405597862224,0.058716882,0.001,1.0,-2.1548543,2.644984,-12.211725073583517,0.68979156,-0.0017685306,-3.6863463,0.8549838,1.7831008,-0.12486722,173952,0.06764,0.000660392822107096,0.0,13.210517844002943,94882.5102546215,1
173993,2.663619,-20.46,-2.811224,2298998,24.21930086797415,0.058768444,0.001,0.99,-2.1252804,2.6348345,-12.214382187789164,0.6897689,-0.0017786776,-3.6865153,0.8451003,1.7889174,-0.15507288,173993,0.05914,0.0007097267703019146,0.0,13.213169495324525,94924.20993208885,1
174055,2.6550133,-17.93,-2.8177319,2299998,24.21920059809811,0.056992475,0.001,0.99,-2.125451,2.6265907,-12.215339978742351,0.6897424,-0.0017700025,-3.686324,0.8496853,1.7829322,-0.1207683,174055,0.0516,0.0007536940506541155,0.0,13.214127718249978,94965.89248204231,1
174117,2.6526904,-14.4,-2.8006492,2300998,24.218910489970472,0.05483931,0.001,1.0,-2.1188827,2.6338513,-12.21642343941143,0.68972415,-0.0018019037,-3.6861942,0.8509012,1.7824043,-0.12355759,174117,0.06951,0.00067704850296894,0.0,13.215211610583689,95008.32008743286,1
174180,2.678009,-14.37,-2.849868,2301998,24.2185983971427,0.05532423,0.001,1.0,-2.1721253,2.6507614,-12.21733264439086,0.68971235,-0.0018321627,-3.6862466,0.8444937,1.7462524,-0.13075,174180,0.15179,0.0006789175542983448,0.0,13.2161212538753,95050.83499264717,1
174248,2.6907763,-14.02,-2.8959484,2302998,24.21842071825405,0.057137046,0.001,1.0,-2.1921742,2.6536481,-12.21794224323952,0.68969524,-0.0018285868,-3.6861885,0.8480642,1.7814983,-0.12443221,174248,0.01951,0.0006935909005212552,0.0,13.21673132546715,95092.82321882248,1
174306,2.656457,-14.53,-2.8287072,2303998,24.218381247797932,0.05749333,0.001,0.99,-2.135139,2.6273355,-12.219349878948515,0.6896694,-0.0018372508,-3.6859374,0.84766257,1.7926847,-0.1405567,174306,0.00077,0.0006940508732682163,0.0,13.218133627069637,95134.26914978027,1
174372,2.6627293,-15.36,-2.8312013,2304998,24.21812201021632,0.061041206,0.001,0.99,-2.146937,2.6372113,-12.220075470832473,0.6896525,-0.0018229331,-3.6858625,0.8509938,1.7578217,-0.12253233,174372,0.14605,0.00068249667222042,0.0,13.218859679306311,95176.57888698578,1
174438,2.6412961,-13.99,-2.783526,2305998,24.217731935627125,0.06527159,0.001,1.0,-2.0855596,2.6180134,-12.220714523211685,0.68963,-0.0018403687,-3.68567,0.84833956,1.7731216,-0.14317288,174438,0.00344,0.0006665672194200008,0.0,13.219499191689884,95219.40395283699,1
174497,2.6490304,-15.51,-2.8461914,2306998,24.217254870261517,0.056228183,0.001,1.0,-2.1681707,2.6237698,-12.22203820122982,0.689615,-0.0018401268,-3.685609,0.8561791,1.7656769,-0.114865065,174497,0.05903,0.0006677196865948101,0.0,13.220823280629466,95262.57258963585,1
174550,2.674473,-17.22,-2.843231,2307998,24.217112266600775,0.055598635,0.001,1.0,-2.140326,2.6422672,-12.223781151532512,0.68958914,-0.0018433232,-3.685497,0.8517529,1.8209243,-0.13308796,174550,0.08182,0.0006688719817888314,0.0,13.222566599828129,95304.4266629219,1
174606,2.6617825,-16.96,-2.8459635,2308998,24.217194388070514,0.060238123,0.001,1.0,-2.1625066,2.6406417,-12.22514117498826,0.6895614,-0.001847399,-3.685197,0.85229194,1.7450929,-0.11469167,174606,0.0731,0.0006658527215284405,0.0,13.223927012817429,95345.39645671844,1
174663,2.642444,-16.89,-2.8934412,2309998,24.216915514302,0.05589077,0.001,1.0,-2.211633,2.6068077,-12.22668223951266,0.6895418,-0.0018321144,-3.6851208,0.8571937,1.818866,-0.13117716,174663,0.00066,0.0006536462086677167,0.0,13.225468473574827,95387.78787231445,1
