reference_action_std,rollout/actions_std,reference_actor_Q_mean,rollout/episodes,total/steps_per_second,rollout/return,total/duration,total/epochs,rollout/episode_steps,rollout/return_history,train/loss_actor,train/param_noise_distance,rollout/error,reference_actor_Q_std,rollout/actions_mean,train/loss_critic,reference_Q_mean,success rate,rollout/Q_mean,errors,reference_action_mean,total/steps,reference_Q_std,total/episodes,rollout/goal_tolerance
0.87041503,0.6554425,-2.261908,848,27.478031179353945,-22.57429245283019,727.7813999652863,1,23.48938679245283,-7.72,1.8258594,0.0,0.02635,2.1785517,0.022808613,0.20812899,-2.8872013,1.0,-2.1630757,0.014292355414884555,-0.04182662,19998,2.2337668,848,0.01922
0.8668678,0.6622798,-2.1798825,960,27.321403722251087,-20.942708333333332,768.5549473762512,1,21.867708333333333,-7.96,1.7845465,0.0,0.04888,2.2352905,0.021565396,0.19233797,-2.8051076,1.0,-2.18336,0.013881617907079593,-0.04649302,20998,2.2940242,960,0.01918
0.8657416,0.66814363,-2.1355171,1047,27.1568806429768,-20.08022922636103,810.0341231822968,1,21.010506208213943,-9.66,1.74028,0.0,0.06837,2.290411,0.016781967,0.19830036,-2.7823157,0.99,-2.2103374,0.013641789383612444,-0.09361684,21998,2.350055,1047,0.01914
0.87170017,0.67377645,-2.1454046,1153,27.024235344588718,-19.00607111882047,851.0139031410217,1,19.94275802254987,-8.66,1.6551541,0.0,0.04356,2.327926,0.015739124,0.19754885,-2.810731,1.0,-2.2465901,0.013193774521317978,-0.079620026,22998,2.388406,1153,0.0191
0.8833438,0.67875355,-2.083906,1264,26.89134353935,-18.041930379746834,892.4061367511749,1,18.984177215189874,-8.03,1.6403198,0.0,0.15549,2.393229,0.015964495,0.19073704,-2.7515743,1.0,-2.2685921,0.013934294307404217,-0.04771075,23998,2.4361675,1264,0.01906
0.885043,0.68404216,-2.0071702,1381,26.7644301585838,-17.153511947863866,934.0008306503296,1,18.10065170166546,-7.85,1.587465,0.0,0.12686,2.4121788,0.016703516,0.2008659,-2.6783686,1.0,-2.3042116,0.01460210796464564,-0.08253426,24998,2.4672832,1381,0.01903
0.87536114,0.68903846,-1.917263,1490,26.644820639377976,-16.477852348993288,975.7243387699127,1,17.428859060402683,-7.93,1.583485,0.0,0.05768,2.4757438,0.016691612,0.18778317,-2.5980368,1.0,-2.3319907,0.013837859260491376,-0.15175541,25998,2.4978237,1490,0.01899
0.8787524,0.693411,-1.9575179,1618,26.51203646584226,-15.72991347342398,1018.3299210071564,1,16.684796044499382,-6.08,1.5433186,0.0,0.11365,2.5416248,0.014370371,0.19724844,-2.6172676,1.0,-2.3427277,0.013949221350576822,-0.09886432,26998,2.5557315,1618,0.01895
0.8851638,0.69726586,-1.9206629,1726,26.41442287047259,-15.263035921205098,1059.9512295722961,1,16.220741599073,-8.17,1.5051408,0.0,0.10492,2.5828218,0.017166022,0.19059797,-2.564594,1.0,-2.3746507,0.013460927772574066,-0.09650501,27998,2.5901337,1726,0.01891
0.87510896,0.7009335,-1.8624914,1835,26.291730093266494,-14.827792915531335,1102.9323630332947,1,15.788010899182561,-7.93,1.4935439,0.0,0.09858,2.6169558,0.015066136,0.18244874,-2.5096812,1.0,-2.3997455,0.013030406779352046,-0.09977309,28998,2.62561,1835,0.01887
0.87829953,0.70486116,-1.8527846,1943,26.19976031185951,-14.476582604220278,1144.972306728363,1,15.4390118373649,-8.25,1.451876,0.0,0.07924,2.6750376,0.015006877,0.18642849,-2.4871726,1.0,-2.427442,0.014213068491073719,-0.038795855,29998,2.6616652,1943,0.01884
0.87812847,0.70848095,-1.8016558,2045,26.097813445653617,-14.187286063569681,1187.76234126091,1,15.15158924205379,-8.75,1.401867,0.0,0.02365,2.7267728,0.01398117,0.17462988,-2.4428935,1.0,-2.4614766,0.013817348132884107,-0.056693826,30998,2.7220407,2045,0.0188
0.8789305,0.7116873,-1.7281904,2171,26.026568237410228,-13.77245508982036,1229.4360020160675,1,14.738830032243206,-6.59,1.3971963,0.0,0.16039,2.7793489,0.011467818,0.16826127,-2.3634987,1.0,-2.4746232,0.013110728316062033,-0.05125032,31998,2.7844214,2171,0.01876
0.87774944,0.71451,-1.7357011,2290,25.946324310815374,-13.439301310043668,1271.779370546341,1,14.407423580786027,-6.86,1.3609173,0.0,0.04085,2.8041346,0.010961513,0.16309214,-2.3825448,1.0,-2.4867222,0.013310835844308073,-0.047573227,32998,2.8116457,2290,0.01872
0.87571263,0.71707565,-1.6978059,2404,25.8671838151062,-13.172628951747088,1314.3293929100037,1,14.142262895174708,-7.63,1.3494121,0.0,0.0757,2.8349438,0.0115558505,0.16384484,-2.3388891,1.0,-2.502502,0.012198722080546277,-0.047257114,33998,2.8322568,2404,0.01869
0.8768196,0.7198801,-1.6042991,2520,25.810882508978402,-12.917857142857143,1355.9396889209747,1,13.88888888888889,-7.06,1.3341845,0.0,0.01595,2.8504467,0.010853761,0.16955914,-2.2459168,1.0,-2.5259237,0.01353957238318652,-0.03015633,34998,2.8773487,2520,0.01865
0.88057417,0.72214293,-1.6381576,2629,25.751100350996953,-12.715100798782807,1397.9208464622498,1,13.687333586915177,-7.67,1.3045925,0.0,0.05578,2.8941844,0.0118020205,0.16436188,-2.2868488,1.0,-2.5478299,0.012445979082351113,-0.016623594,35998,2.9006042,2629,0.01861
0.88120604,0.72448325,-1.5369465,2745,25.694733630996822,-12.504189435336976,1439.9059562683105,1,13.477595628415301,-7.96,1.2868216,0.0,0.0457,2.8837988,0.010316779,0.16738789,-2.1801922,1.0,-2.5568275,0.013442331457952579,-0.07901141,36998,2.9096076,2745,0.01858
0.8813612,0.726527,-1.5982984,2871,25.631562473894935,-12.261233019853709,1482.4691252708435,1,13.235806339254616,-7.19,1.245156,0.0,0.01849,2.9342515,0.010438802,0.15725747,-2.25695,1.0,-2.5628173,0.013725710785275902,-0.066499524,37998,2.9443336,2871,0.01854
0.8779923,0.72858363,-1.5440276,2979,25.583999990527772,-12.085934877475664,1524.312070608139,1,13.061430010070493,-7.81,1.1894495,0.0,0.02898,2.9447815,0.008926289,0.16662316,-2.1954827,1.0,-2.5658338,0.013644184847218513,-0.06673004,38998,2.9625282,2979,0.0185
0.8792888,0.73035145,-1.4846631,3114,25.542210155618125,-11.868336544637122,1565.956890821457,1,12.844894026974952,-6.18,1.1945407,0.0,0.05136,2.992967,0.007811454,0.14241986,-2.1274967,1.0,-2.5612967,0.012555752752600548,-0.075051166,39998,3.0227287,3114,0.01846
0.8745413,0.73223394,-1.4840043,3235,25.47160137068161,-11.69582689335394,1609.5572242736816,1,12.673261205564142,-7.64,1.146688,0.0,0.03007,2.9587317,0.008053274,0.1606848,-2.130827,1.0,-2.578207,0.012890045025179491,-0.08098086,40998,2.9851737,3235,0.01843
0.88071024,0.73400664,-1.4514768,3356,25.427049810329674,-11.535160905840286,1651.7055778503418,1,12.513408820023837,-7.47,1.1375927,0.0,0.02164,3.0104556,0.008556017,0.13863578,-2.1136708,1.0,-2.5842113,0.0123557752162208,-0.024386054,41998,3.0374582,3356,0.01839
0.87878335,0.7356862,-1.43167,3487,25.37521779620369,-11.350731287639805,1694.4879190921783,1,12.329796386578721,-7.32,1.1282707,0.0,0.02919,2.981527,0.009737749,0.14786954,-2.0773273,1.0,-2.5847666,0.01283249115593082,-0.02186502,42998,3.0237443,3487,0.01835
0.8765848,0.7371691,-1.4379144,3599,25.329688615707045,-11.245068074465129,1737.0130627155304,1,12.224506807446513,-8.19,1.1265751,0.0,0.02639,2.9923077,0.009874781,0.14785303,-2.0835342,0.99,-2.5833917,0.012097114343516631,-0.010782108,43998,3.0401733,3599,0.01832
0.8785028,0.73867893,-1.3695632,3698,25.29103482463439,-11.186046511627907,1779.2075457572937,1,12.166035694970255,-8.95,1.0876428,0.0,0.16727,3.0038652,0.011008785,0.13406637,-2.0173895,1.0,-2.5998778,0.012498472137229379,-0.055354465,44998,3.0580344,3698,0.01828
0.88073957,0.7400394,-1.4171356,3819,25.254515498678597,-11.062319979052107,1821.3772504329681,1,12.042943178842629,-7.07,1.0861919,0.0,0.02333,3.0125058,0.011686795,0.12882094,-2.042975,1.0,-2.610392,0.01293335437653605,-0.014172916,45998,3.0552511,3819,0.01824
0.87301165,0.74146175,-1.4038134,3946,25.21857069628054,-10.924480486568678,1863.6266331672668,1,11.905727318803851,-6.88,1.0243088,0.0,0.11908,3.0577765,0.011093746,0.13107987,-2.0319214,1.0,-2.6192818,0.012514865851612838,-0.015344873,46998,3.102549,3946,0.01821
0.8813306,0.74283606,-1.3415161,4069,25.183502008306764,-10.810518554927501,1905.9303183555603,1,11.792332268370608,-6.47,1.0726393,0.0,0.03877,3.0450406,0.008778108,0.14250192,-1.9773333,1.0,-2.6249855,0.01270773650848218,0.027249843,47998,3.0999079,4069,0.01817
0.87549776,0.7439196,-1.3792351,4180,25.140573077877477,-10.738995215311006,1948.9611413478851,1,11.721291866028707,-8.43,0.9951589,0.0,0.08387,3.034387,0.0085192975,0.15478167,-2.0096593,1.0,-2.633643,0.012386309821887003,-0.0040965923,48998,3.09158,4180,0.01814
0.87622565,0.74509466,-1.3623087,4288,25.106071089840277,-10.676305970149254,1991.4705021381378,1,11.659048507462687,-8.17,1.0509257,0.0,0.11271,3.036398,0.0072957347,0.11552948,-1.9780498,1.0,-2.6493852,0.012769564434754988,-0.0026564375,49998,3.0959554,4288,0.0181
0.87546134,0.7463837,-1.3943727,4404,25.073203531091266,-10.592643051771118,2033.964265346527,1,11.575840145322434,-7.17,1.03254,0.0,0.06926,3.0413442,0.007853643,0.12305526,-2.0075781,1.0,-2.658086,0.012478713661950365,-0.0019457042,50998,3.1115913,4404,0.01806
0.8735532,0.7473876,-1.3047938,4536,25.03704495342822,-10.475308641975309,2076.8425385951996,1,11.458994708994709,-6.45,1.0201365,0.0,0.12393,3.0566237,0.006990263,0.12346168,-1.9272279,1.0,-2.6640105,0.012758525559811995,0.017006367,51998,3.1205666,4536,0.01803
0.86981714,0.74830174,-1.3107892,4630,25.013386658964862,-10.46328293736501,2118.7854616642,1,11.44708423326134,-9.76,1.0379281,0.0,0.01752,3.0579715,0.006146212,0.13075939,-1.9373195,0.99,-2.6717129,0.012448316725663535,0.054516733,52998,3.1167898,4630,0.01799
0.8680868,0.7493144,-1.307806,4725,24.985254082530577,-10.443597883597883,2161.1947519779205,1,11.427724867724868,-9.53,1.0607759,0.0,0.0502,3.055649,0.0050037485,0.116781,-1.9338863,1.0,-2.6903625,0.01268692170282705,0.0383532,53998,3.1206295,4725,0.01796
0.8711644,0.75014627,-1.336943,4848,24.942487680946734,-10.356229372937294,2204.9925694465637,1,11.340759075907592,-6.99,1.0405694,0.0,0.04698,3.045941,0.005430063,0.11688731,-1.9682966,1.0,-2.693076,0.012146962445869656,0.020884804,54998,3.1090672,4848,0.01792
0.8719845,0.75099856,-1.3364112,4964,24.91550190869045,-10.292908944399677,2247.516433954239,1,11.277800161160355,-7.48,1.0231185,0.0,0.05737,3.0447545,0.0051230155,0.114851646,-1.9436362,1.0,-2.699889,0.012120336279141048,0.04741611,55998,3.1212358,4964,0.01788
0.8642113,0.75184184,-1.3552508,5089,24.88336157106612,-10.214187463155826,2290.6069116592407,1,11.199449793672628,-6.56,0.99650246,0.0,0.04732,3.0714571,0.0033638787,0.12578079,-1.9935272,1.0,-2.7068367,0.012466464691220955,-0.007686948,56998,3.1514373,5089,0.01785
0.8684659,0.75230753,-1.3050908,5219,24.850477488119456,-10.100402375934086,2333.878696203232,1,11.086031806859552,-5.83,0.9821791,0.0,0.02237,3.062661,0.002980901,0.12248287,-1.9323629,1.0,-2.6991153,0.01202633598430294,0.0035638977,57998,3.1450887,5219,0.01781
0.86802906,0.7528789,-1.2971383,5337,24.826308008600925,-10.068390481543938,2376.4306790828705,1,11.053962900505903,-7.73,0.95571977,0.0,0.06652,3.0494316,0.0029090368,0.10636609,-1.9366443,0.99,-2.7031505,0.012645434431926188,0.040551227,58998,3.1423752,5337,0.01778
0.8647691,0.75359696,-1.2955406,5448,24.80856434553686,-10.02514684287812,2418.4390182495117,1,11.01101321585903,-7.44,1.0090953,0.0,0.12327,3.075247,0.002720911,0.10695657,-1.9399128,1.0,-2.7120886,0.012482809999269708,0.021006228,59998,3.1674135,5448,0.01774
