reference_action_mean,train/loss_actor,reference_Q_std,rollout/Q_mean,total/episodes,reference_Q_mean,rollout/episode_steps,total/steps_per_second,rollout/actions_mean,rollout/return,total/epochs,rollout/episodes,reference_actor_Q_mean,errors,train/param_noise_distance,reference_action_std,total/duration,rollout/error,success rate,rollout/goal_tolerance,total/steps,train/loss_critic,rollout/actions_std,reference_actor_Q_std,rollout/return_history
-0.010983624,1.2045387,2.302735,-2.9406376,2833,-2.6139379,14.822802682668549,26.297063181981645,0.0013117482,-13.85104129897635,1,2833,-1.8019509,0.012596579964855541,0.0,0.89031184,1597.0604667663574,0.08483,1.0,0.01839,41998,0.102058284,0.73925835,2.3110366,-9.43
-0.021324553,1.251435,2.2865236,-2.969437,2925,-2.6175075,14.691965811965812,26.256684017085643,0.0017647533,-13.719316239316239,1,2925,-1.806886,0.01294070104754648,0.0,0.8911051,1637.6020662784576,0.0649,1.0,0.01835,42998,0.09095758,0.74062055,2.3081818,-9.59
-0.017907778,1.1901013,2.281093,-2.9803655,3033,-2.6335366,14.504451038575668,26.205004486976662,0.0015052138,-13.530827563468513,1,3033,-1.8192924,0.01222074561556578,0.0,0.88975227,1678.9922711849213,0.07214,1.0,0.01832,43998,0.09050006,0.7418316,2.3071103,-8.45
-0.015946776,1.2189562,2.273656,-2.9959874,3134,-2.631019,14.350989151244416,26.172439555973313,0.0016446505,-13.376515634971282,1,3134,-1.8213837,0.013203506422212002,0.0,0.89023435,1719.2894802093506,0.06619,1.0,0.01828,44998,0.080367066,0.7429363,2.2879016,-8.72
-0.026833802,1.169702,2.2846832,-3.0166237,3225,-2.5935545,14.263565891472869,26.13222872209246,0.00096418156,-13.288372093023256,1,3225,-1.7768815,0.012770936023285231,0.0,0.8879209,1760.2019517421722,0.01762,1.0,0.01824,45998,0.106817625,0.7438014,2.290571,-10.2
-0.025220618,1.1947446,2.2907302,-3.0248036,3336,-2.5920718,14.087230215827338,26.093672970468187,0.00068052486,-13.11121103117506,1,3336,-1.7802234,0.012347896641036273,0.0,0.89149433,1801.126275062561,0.04289,1.0,0.01821,46998,0.08890477,0.74461347,2.2989388,-7.73
-0.042968336,1.1679673,2.2715957,-3.0344837,3441,-2.5910373,13.949142691078174,26.04051934269482,-0.00108727,-12.972391746585295,1,3441,-1.7794325,0.013133154222927624,0.0,0.88759977,1843.2044064998627,0.14007,1.0,0.01817,47998,0.08935595,0.745356,2.2695787,-8.72
-0.03025798,1.1686406,2.2786765,-3.0381885,3550,-2.5660093,13.800563380281691,25.99853070105224,-0.00016246454,-12.823098591549297,1,3550,-1.7625601,0.012596449568145575,0.0,0.8899696,1884.6449656486511,0.13438,1.0,0.01814,48998,0.09965369,0.746178,2.287994,-8.43
-0.011029192,1.1297793,2.2596657,-3.0475874,3658,-2.5379276,13.664024056861672,25.962926381072336,0.00081907504,-12.685893931109897,1,3658,-1.7423583,0.012661930346603796,0.0,0.89193934,1925.745937347412,0.11453,1.0,0.0181,49998,0.09759764,0.74695307,2.26698,-7.67
-0.024006039,1.125247,2.2648234,-3.0452306,3783,-2.5909805,13.480570975416336,25.93349152105182,0.0012933003,-12.50171821305842,1,3783,-1.7792654,0.012348502534241619,0.0,0.8855313,1966.4918608665466,0.09588,1.0,0.01806,50998,0.089853324,0.7477259,2.2736695,-7.55
-0.02146732,1.0935495,2.2621965,-3.0629907,3874,-2.5124917,13.421528136293237,25.89966975452138,0.00011428144,-12.442178626742384,1,3874,-1.7067544,0.012618798575349303,0.0,0.8891049,2007.6703870296478,0.12642,1.0,0.01803,51998,0.09430514,0.7486102,2.2696311,-10.02
0.018761216,1.0920779,2.2541442,-3.078009,3966,-2.527669,13.361825516893596,25.86421773580538,-0.00012060786,-12.381996974281392,1,3966,-1.7214838,0.01279294905326,0.0,0.88450825,2049.085750102997,0.13828,1.0,0.01799,52998,0.09012709,0.74924874,2.2527163,-9.54
-0.054095607,1.0854472,2.2531407,-3.090673,4066,-2.5113087,13.27693064436793,25.840376795419516,0.0007245497,-12.296606000983768,1,4066,-1.693536,0.012410423836552222,0.0,0.88357604,2089.6754109859467,0.0253,1.0,0.01796,53998,0.08036781,0.7498734,2.275341,-8.91
-0.012076921,1.0708946,2.2555666,-3.1048725,4168,-2.5383465,13.195297504798464,25.8214307521684,-2.8332553e-05,-12.214491362763916,1,4168,-1.7307472,0.012356765631534018,0.0,0.8906591,2129.9361963272095,0.0296,1.0,0.01792,54998,0.076732166,0.7505036,2.259697,-8.92
-0.02061826,1.0906581,2.2531018,-3.108212,4273,-2.4798594,13.1034402059443,25.798631962238844,-0.0012605358,-12.12216241516499,1,4273,-1.6691362,0.01268310018705005,0.0,0.8884979,2170.58021068573,0.01952,1.0,0.01788,55998,0.078611515,0.7509948,2.2540638,-8.68
-0.047642205,1.0726372,2.2404196,-3.1069915,4370,-2.5214417,13.04050343249428,25.77558043749713,-0.0012212874,-12.058810068649885,1,4370,-1.7006755,0.012614598100541427,0.0,0.89161736,2211.3178067207336,0.07846,1.0,0.01785,56998,0.08812109,0.7512259,2.2484179,-9.13
0.007980686,1.0521985,2.250592,-3.111165,4479,-2.4917471,12.946193346729181,25.747828770344633,-0.0009973523,-11.964054476445636,1,4479,-1.6778061,0.012282932949698502,0.0,0.8901543,2252.539447784424,0.04474,1.0,0.01781,57998,0.08574403,0.7517125,2.266069,-8.03
-0.020755725,1.0755818,2.257693,-3.1138756,4591,-2.4552648,12.850141581354825,25.72874212054298,-0.0015702301,-11.867566978871706,1,4591,-1.6410401,0.011253291059556834,0.0,0.89292306,2293.077513217926,0.03767,1.0,0.01778,58998,0.077374935,0.752267,2.271274,-8.22
-0.0050971936,1.0250309,2.2472308,-3.113801,4711,-2.5021768,12.735088091700275,25.696681641765196,-0.0023602783,-11.752069624283592,1,4711,-1.6895216,0.012159456012574586,0.0,0.894121,2334.8540031909943,0.10375,1.0,0.01774,59998,0.083551794,0.7526496,2.2647748,-7.18
-0.041111108,1.0718551,2.2415566,-3.1227343,4808,-2.403796,12.68698003327787,25.6749146014267,-0.002355874,-11.703618968386023,1,4808,-1.5890198,0.012569460654776701,0.0,0.89108914,2375.7820014953613,0.03945,1.0,0.01771,60998,0.07263893,0.753052,2.253128,-9.35
-0.03321432,1.0671135,2.2328768,-3.1306689,4912,-2.4196012,12.617263843648209,25.638993637409502,-0.0023891714,-11.633550488599349,1,4912,-1.5979526,0.01243768658534357,0.0,0.8881612,2418.1136310100555,0.10967,1.0,0.01767,61998,0.074701354,0.75343317,2.2442403,-8.39
-0.02174726,1.0507015,2.2337255,-3.152725,4995,-2.433084,12.61041041041041,25.620048996472377,-0.0031998989,-11.626426426426427,1,4995,-1.6213162,0.011954473098058698,0.0,0.8929784,2458.9336268901825,0.06237,1.0,0.01764,62998,0.07307798,0.75389713,2.2513,-10.27
-0.0044449526,1.0000803,2.2230768,-3.1605086,5091,-2.4238296,12.56884698487527,25.596742131676972,-0.0030896044,-11.584560989982322,1,5091,-1.6006064,0.011431020452181449,0.0,0.8930212,2500.2400567531586,0.09236,1.0,0.0176,63998,0.072206624,0.7542323,2.2379317,-9.53
0.0018893642,1.023069,2.2339025,-3.180845,5172,-2.4021616,12.563418406805878,25.58377249282499,-0.0029290877,-11.578886310904872,1,5172,-1.5757229,0.012078420136712604,0.0,0.8953399,2540.594825029373,0.14205,1.0,0.01757,64998,0.09637002,0.75458276,2.2469842,-10.56
-0.034488447,1.0050722,2.2386217,-3.1902983,5276,-2.3784742,12.508150113722516,25.55780339165334,-0.003171833,-11.523313115996967,1,5276,-1.5458272,0.012356592677301194,0.0,0.89123875,2582.303298473358,0.16073,1.0,0.01753,65998,0.08122812,0.75489,2.2583582,-8.7
-0.035844028,1.0797315,2.232142,-3.2030122,5365,-2.3628128,12.484622553588071,25.53535031164909,-0.0035515775,-11.499534016775396,1,5365,-1.5315056,0.012428691293844687,0.0,0.88963234,2623.7352995872498,0.07927,1.0,0.0175,66998,0.08855657,0.75511634,2.255887,-9.44
-0.007193312,1.0333215,2.2389655,-3.2114875,5469,-2.3280578,12.432620223075517,25.517660955352767,-0.0031595519,-11.447248125799964,1,5469,-1.501724,0.012192931443664236,0.0,0.89253813,2664.7426705360413,0.04677,1.0,0.01746,67998,0.07000234,0.75549275,2.2616386,-8.77
-0.019115781,0.98201513,2.2462165,-3.229629,5551,-2.3482862,12.427850837686904,25.503857257538318,-0.0035507025,-11.442262655377409,1,5551,-1.5157673,0.012551689856442094,0.0,0.88992167,2705.3946900367737,0.0717,1.0,0.01743,68998,0.06882677,0.75596315,2.2566605,-10.23
0.007244633,0.9893493,2.2564902,-3.227611,5673,-2.3505917,12.33844526705447,25.488320471294347,-0.0036475763,-11.352547153181739,1,5673,-1.5080411,0.012176886773872703,0.0,0.8915942,2746.277459859848,0.0945,1.0,0.01739,69998,0.068797275,0.75625485,2.287447,-7.16
-0.010056532,1.0018394,2.250143,-3.2324648,5773,-2.3390722,12.298631560713668,25.473011813135074,-0.0039009918,-11.312489173739824,1,5773,-1.4943879,0.011893087097548716,0.0,0.89294577,2787.185140132904,0.01428,1.0,0.01736,70998,0.07476697,0.75646603,2.273868,-9.04
-0.005511508,0.9589711,2.2568924,-3.2357323,5881,-2.3421373,12.241795612990988,25.46595254691774,-0.0031182184,-11.255398741710593,1,5881,-1.5104299,0.011862727392801743,0.0,0.8901496,2827.2258760929108,0.04346,1.0,0.01732,71998,0.076741226,0.75678813,2.2887497,-8.05
-0.03152451,0.9803363,2.268515,-3.2373874,5996,-2.3328784,12.172114743162108,25.454674830562503,-0.0034134784,-11.18545697131421,1,5996,-1.4885265,0.012083151737220927,0.0,0.8858152,2867.7639956474304,0.05476,1.0,0.01729,72998,0.078621484,0.7570875,2.313971,-7.4
