rollout/Q_mean,total/duration,total/episodes,errors,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,rollout/goal_tolerance,train/loss_actor,reference_action_mean,total/steps_per_second,success rate,train/loss_critic,reference_action_std,rollout/return_history,reference_Q_std,rollout/return,total/steps,total/epochs,rollout/error,reference_actor_Q_mean,reference_Q_mean,rollout/actions_mean,rollout/episodes,rollout/episode_steps
-2.726891,1517.013066291809,3154,0.012651810535229686,0.0,3.2653346,0.7367803,0.0185,1.3837981,-0.097470604,25.707095651672148,1.0,0.14869691,0.879458,-6.01,3.20953,-11.386493341788205,38998,1,0.06775,-2.737876,-3.4105346,0.0008376963,3154,12.36303107165504
-2.7372577,1560.4650349617004,3296,0.012139112223707654,0.0,3.278552,0.73839825,0.01846,1.4303981,-0.09512085,25.632102676995707,1.0,0.1303834,0.8877061,-5.65,3.2174594,-11.15625,39998,1,0.02128,-2.6361914,-3.3517356,0.00087635714,3296,12.13379854368932
-2.7561152,1602.6424736976624,3429,0.012770463726541609,0.0,3.3083336,0.73999804,0.01843,1.4069992,-0.07031467,25.581500972832853,1.0,0.13018413,0.8865075,-6.84,3.2477372,-10.978127734033245,40998,1,0.24823,-2.6562338,-3.3461356,0.00068277895,3429,11.956547098279382
-2.7596316,1645.3659901618958,3533,0.01296623895827551,0.0,3.3434026,0.74121773,0.01839,1.3389578,-0.09914562,25.525020117784013,0.99,0.13267368,0.8845665,-7.18,3.2822087,-10.908293235210868,41998,1,0.06174,-2.6434116,-3.3400347,-0.0012533908,3533,11.88678177186527
-2.7631989,1688.2397894859314,3678,0.012689033970727103,0.0,3.3599107,0.74276817,0.01835,1.3485891,-0.037384618,25.469130788045742,1.0,0.13074157,0.8804219,-5.93,3.3150663,-10.711799891245242,42998,1,0.01316,-2.656355,-3.353768,-0.000929035,3678,11.691136487221316
-2.7776916,1730.8424892425537,3804,0.012268360961731301,0.0,3.3509622,0.7439607,0.01832,1.3231006,-0.06202439,25.41999071172229,1.0,0.1261214,0.88680583,-6.66,3.3151214,-10.578338590956887,43998,1,0.02363,-2.6160111,-3.3192906,-0.001855648,3804,11.558359621451103
-2.786084,1773.9173126220703,3940,0.012728108303581166,0.0,3.378605,0.74523747,0.01828,1.3406719,-0.052794177,25.366458560285068,1.0,0.12437443,0.8861334,-6.47,3.3273394,-10.439340101522843,44998,1,0.0915,-2.6408715,-3.334637,-0.002262156,3940,11.42005076142132
-2.7921035,1816.3669273853302,4054,0.012826059505980472,0.0,3.3579159,0.7461768,0.01824,1.2891698,-0.072250016,25.324178340008846,0.99,0.11111204,0.885801,-8.06,3.3250747,-10.365564874198324,45998,1,0.03907,-2.5983562,-3.2949753,-0.003458295,4054,11.346571287617168
-2.7921164,1858.0113368034363,4196,0.013030948626437673,0.0,3.3869371,0.7471954,0.01821,1.2836661,-0.08231457,25.294786457469304,1.0,0.12615412,0.88493323,-5.75,3.3584387,-10.219494756911343,46998,1,0.01463,-2.5648177,-3.2815819,-0.0030600629,4196,11.201143946615824
-2.7945304,1900.1765098571777,4322,0.012601306461303165,0.0,3.3741207,0.7481256,0.01817,1.2815061,-0.07069308,25.25975863347961,1.0,0.11407213,0.882633,-6.88,3.36147,-10.123322535863027,47998,1,0.05819,-2.583387,-3.2896888,-0.0040545235,4322,11.105506709856549
-2.800561,1943.6323351860046,4457,0.012321109803255008,0.0,3.3725843,0.74895185,0.01814,1.1839515,-0.05989447,25.209500332433457,1.0,0.111173585,0.88673234,-6.67,3.3380497,-10.010769575947947,48998,1,0.026,-2.5077891,-3.2213824,-0.0049613463,4457,10.993493381198116
-2.808777,1986.1282403469086,4591,0.012296190814483337,0.0,3.3787918,0.7500095,0.0181,1.2316113,-0.05503301,25.173601071835655,1.0,0.122672886,0.8816549,-5.31,3.340242,-9.906120670877804,49998,1,0.04535,-2.5365598,-3.2373466,-0.006617839,4591,10.889348725767807
-2.827841,2028.1469056606293,4679,0.012249744816624006,0.0,3.4043214,0.7507199,0.01806,1.1789938,-0.09566512,25.14512132117392,0.99,0.10736615,0.88413715,-9.1,3.3770208,-9.896131652062406,50998,1,0.02954,-2.5398886,-3.2523932,-0.006837973,4679,10.879461423381064
-2.8363264,2070.034975528717,4798,0.012928446905973091,0.0,3.4003975,0.7514153,0.01803,1.1730075,-0.07943026,25.119382336387314,1.0,0.11206917,0.8783617,-6.71,3.3852944,-9.853272196748645,51998,1,0.03695,-2.4948664,-3.2011065,-0.0079801725,4798,10.836807002917883
-2.847302,2112.3025228977203,4921,0.012841624621489864,0.0,3.384162,0.7522264,0.01799,1.1507859,-0.04158135,25.09015608583175,1.0,0.11136453,0.8871011,-7.7,3.368388,-9.786222312538102,52998,1,0.01215,-2.4423704,-3.154718,-0.008171724,4921,10.770168664905507
-2.8599844,2154.433912754059,5047,0.01209477249351069,0.0,3.408966,0.7530682,0.01796,1.1522104,-0.058378804,25.0636604262199,1.0,0.10430238,0.8823531,-6.22,3.3888788,-9.712898751733704,53998,1,0.09581,-2.4325814,-3.149201,-0.0071722134,5047,10.697245888646721
-2.8777316,2197.571558237076,5165,0.012325171585006171,0.0,3.402289,0.7537211,0.01792,1.1710321,-0.06910205,25.02671632869157,1.0,0.09780437,0.877709,-6.41,3.37667,-9.661955469506292,54998,1,0.09398,-2.458133,-3.1670651,-0.006700694,5165,10.646660212971927
-2.882244,2241.610259771347,5294,0.012611216208215988,0.0,3.4168518,0.75457805,0.01788,1.1643916,-0.06195191,24.981149044933446,0.99,0.11158169,0.8838615,-7.3,3.3983972,-9.593124291650925,55998,1,0.00745,-2.4490795,-3.1616998,-0.007570094,5294,10.578012844729884
-2.8868012,2284.569753885269,5429,0.012468458545609407,0.0,3.4105365,0.7552537,0.01785,1.1280674,-0.05757237,24.94911783851903,1.0,0.117536165,0.88408506,-6.16,3.3895233,-9.50856511328053,56998,1,0.03874,-2.3738437,-3.0963635,-0.006369021,5429,10.493829434518327
-2.8823748,2327.4907581806183,5577,0.011921787835754387,0.0,3.3930163,0.7557542,0.01781,1.1113629,-0.06777681,24.918681114479092,1.0,0.12010594,0.8777647,-5.74,3.3700542,-9.414201183431953,57998,1,0.01213,-2.4279563,-3.1391351,-0.005709393,5577,10.399856553702708
-2.8922763,2370.379852294922,5703,0.011547307647690484,0.0,3.423054,0.7563161,0.01778,1.0564823,-0.06823256,24.88968168662087,1.0,0.09352936,0.87982047,-6.51,3.4158835,-9.355251621953357,58998,1,0.03317,-2.4472215,-3.1630418,-0.004615026,5703,10.341223917236542
-2.8939273,2413.1374971866608,5841,0.012053902467950128,0.0,3.4226775,0.7568605,0.01774,1.0686914,-0.04619908,24.86306730136523,1.0,0.09612748,0.8791379,-6.47,3.409056,-9.284540318438623,59998,1,0.10574,-2.3831978,-3.099172,-0.0048977016,5841,10.270844033555898
-2.9017382,2455.8700017929077,5958,0.01201669192801263,0.0,3.4115863,0.75734603,0.01771,1.064814,-0.06263573,24.837633895714518,1.0,0.10537617,0.88000864,-7.51,3.4013495,-9.251594494796912,60998,1,0.05774,-2.3835087,-3.106183,-0.004409684,5958,10.238167170191339
-2.8988874,2499.6067605018616,6103,0.011544971687814588,0.0,3.4218602,0.75758016,0.01767,1.0794033,-0.05369408,24.803101423662447,1.0,0.10330484,0.87899756,-6.13,3.3989222,-9.170735703752253,61998,1,0.0226,-2.369575,-3.0850701,-0.0047583925,6103,10.157627396362445
-2.9038713,2542.990253686905,6225,0.012291928161712888,0.0,3.4433534,0.75787634,0.01764,1.074857,-0.04696322,24.773197580550526,0.99,0.09091969,0.87927663,-7.21,3.433725,-9.127389558232931,62998,1,0.02966,-2.3753297,-3.096138,-0.005835888,6225,10.11437751004016
-2.9031293,2586.83465218544,6357,0.012700600940984488,0.0,3.438674,0.7582392,0.0176,1.0551482,-0.075747356,24.739888166386073,1.0,0.09637802,0.87258506,-6.65,3.428795,-9.078338839075036,63998,1,0.04639,-2.351492,-3.0660589,-0.006309904,6357,10.06559697970741
-2.9077356,2629.1808462142944,6491,0.011741319473354921,0.0,3.4387643,0.75862545,0.01757,1.0391288,-0.06228118,24.721768414519424,1.0,0.09671474,0.8755849,-6.15,3.4257686,-9.024803574179634,64998,1,0.14103,-2.3240144,-3.0574212,-0.0063547352,6491,10.012324757356339
-2.9105713,2671.713241815567,6631,0.011557837105629087,0.0,3.4474156,0.759056,0.01753,1.048972,-0.06289738,24.702501363937902,1.0,0.11195472,0.8730783,-5.84,3.4250455,-8.965163625395867,65998,1,0.02528,-2.3604236,-3.0809278,-0.0065655345,6631,9.952948273261951
-2.916207,2714.3934881687164,6765,0.012206247153334428,0.0,3.4164188,0.75961435,0.0175,1.0218793,-0.07374755,24.682493636985786,1.0,0.090216674,0.87271345,-5.97,3.393358,-8.91559497413156,66998,1,0.03102,-2.3068624,-3.0261176,-0.0077842604,6765,9.903621581670363
-2.9224997,2758.349771261215,6888,0.011810682330327496,0.0,3.4361062,0.7600268,0.01746,1.0412812,-0.071380116,24.65169599173382,1.0,0.09255307,0.87034833,-7.05,3.417905,-8.883710801393729,67998,1,0.06384,-2.2937152,-3.0119476,-0.007557483,6888,9.871951219512194
-2.9259698,2801.3905503749847,7025,0.012117581189025662,0.0,3.4475915,0.7603381,0.01743,1.0001328,-0.08449113,24.62991102428191,1.0,0.09439849,0.8674569,-6.15,3.424615,-8.832597864768683,68998,1,0.03143,-2.2896647,-3.0023055,-0.007983241,7025,9.821067615658363
-2.9266467,2843.3728461265564,7166,0.012133016400911191,0.0,3.4144197,0.7607849,0.01739,1.0092583,-0.04070135,24.617946287049982,1.0,0.102757856,0.86813563,-5.9,3.3933797,-8.776444320401898,69998,1,0.12102,-2.306445,-3.0314574,-0.008646852,7166,9.765140943343567
-2.9325607,2885.5015168190002,7285,0.011597766144373129,0.0,3.4489543,0.76096135,0.01736,0.96803194,-0.07501684,24.605081503567796,0.99,0.08749778,0.8726469,-7.86,3.4399674,-8.756760466712423,70998,1,0.08623,-2.3149152,-3.0543818,-0.009606699,7285,9.745504461221689
-2.9398797,2929.465266227722,7401,0.012303451671360731,0.0,3.439846,0.7613113,0.01732,0.9750521,-0.07525295,24.577181654968708,1.0,0.09197007,0.87640405,-7.44,3.4250524,-8.739359546007297,71998,1,0.0274,-2.2581928,-3.003839,-0.01089824,7401,9.728279962167274
-2.9388409,2972.2029526233673,7537,0.011798900154840914,0.0,3.4375343,0.76167005,0.01729,1.0048282,-0.074934155,24.560233995989233,1.0,0.08659298,0.87213963,-5.92,3.4134667,-8.69457343770731,72998,1,0.07927,-2.2569146,-2.9818792,-0.010974637,7537,9.683693777364999
-2.9541676,3015.171280860901,7654,0.010999426894441205,0.0,3.4381397,0.7618669,0.01725,1.0015466,-0.07467239,24.54188936784774,0.99,0.08849454,0.87336296,-7.91,3.398023,-8.677946171936242,73998,1,0.13201,-2.241587,-2.9750357,-0.01077726,7654,9.667102168800627
-2.9564831,3058.1493997573853,7786,0.011458678932141076,0.0,3.457298,0.76216453,0.01722,0.96268547,-0.07913308,24.523981727625824,1.0,0.08157362,0.8743483,-6.74,3.428692,-8.642435139994863,74998,1,0.12488,-2.2304535,-2.9665217,-0.011000293,7786,9.631774980734653
-2.958534,3100.8488414287567,7910,0.011963280370448024,0.0,3.4580243,0.76245844,0.01718,1.0049146,-0.07870623,24.50877288329312,1.0,0.07798732,0.8720501,-6.67,3.4384453,-8.618078381795195,75998,1,0.0434,-2.2465262,-2.9775596,-0.010375447,7910,9.607585335018964
-2.95704,3144.1816647052765,8052,0.011702433006058327,0.0,3.4732447,0.762771,0.01715,0.9863374,-0.041614562,24.489043004204877,1.0,0.08570051,0.876875,-5.71,3.444976,-8.57203179334327,76998,1,0.03677,-2.2309742,-2.9772778,-0.010129508,8052,9.561723795330353
-2.957862,3186.497337579727,8180,0.011272906349654426,0.0,3.478955,0.7630437,0.01712,0.9583359,-0.066530526,24.477660495785198,1.0,0.086004645,0.87498075,-6.9,3.4413705,-8.544987775061125,77998,1,0.01866,-2.2633457,-2.9920988,-0.010367846,8180,9.53484107579462
-2.9612672,3229.4783611297607,8302,0.011650765486945857,0.0,3.4633582,0.7632485,0.01708,0.93056345,-0.06457387,24.46153563090118,1.0,0.08372791,0.8717577,-7.17,3.4239347,-8.524933750903397,78998,1,0.03481,-2.227035,-2.9453278,-0.010814889,8302,9.514936159961454
-2.9610353,3273.269521713257,8439,0.011381433823303705,0.0,3.5020223,0.76341116,0.01705,0.93190694,-0.04853527,24.439783974198487,1.0,0.086502105,0.87453437,-6.34,3.4604018,-8.488920488209503,79998,1,0.09101,-2.253913,-2.9897218,-0.01024612,8439,9.479085199668207
-2.9590673,3315.2437419891357,8586,0.01147326158419699,0.0,3.4831777,0.7636114,0.01701,0.98832643,-0.036898214,24.431989411252598,1.0,0.07959973,0.87216604,-5.48,3.4443996,-8.4425809457256,80998,1,0.10853,-2.265819,-3.002191,-0.010374128,8586,9.432914046121594
-2.963101,3357.6746356487274,8709,0.011478487645641194,0.0,3.4637039,0.763933,0.01698,0.9539261,-0.097191475,24.421067821587002,1.0,0.09279565,0.87086517,-6.68,3.4370255,-8.424847858537145,81998,1,0.08158,-2.210188,-2.936739,-0.0101929875,8709,9.415317487656447
-2.9730532,3400.575105190277,8812,0.011405537690475743,0.0,3.5034776,0.7641391,0.01695,0.9269908,-0.046088856,24.407048052936887,1.0,0.07498824,0.8683748,-8.5,3.458011,-8.427712210621879,82998,1,0.02802,-2.2456877,-2.9731836,-0.010376581,8812,9.418293236495687
-2.9763744,3443.704794406891,8948,0.011069272310373437,0.0,3.4821393,0.76429975,0.01691,0.920017,-0.05367391,24.3917539437253,1.0,0.097401254,0.87384254,-6.35,3.4487784,-8.396066160035762,83998,1,0.04225,-2.2031574,-2.9376092,-0.010809058,8948,9.386790344210997
-2.9779842,3485.870527982712,9083,0.011260916189315035,0.0,3.5016198,0.7644189,0.01688,0.89213526,-0.08394631,24.383579171309243,1.0,0.074802734,0.8695271,-6.76,3.449765,-8.367279533193878,84998,1,0.01659,-2.2288122,-2.95717,-0.0106813,9083,9.358141583177364
-2.981193,3529.1334657669067,9211,0.010717358901510625,0.0,3.5023339,0.7645966,0.01684,0.92780966,-0.06255217,24.36802145177924,1.0,0.077239975,0.87459075,-6.75,3.467339,-8.345673651069374,85998,1,0.01113,-2.1830702,-2.9173417,-0.010370069,9211,9.33666268591901
-2.9847991,3572.3540341854095,9336,0.011711170863970775,0.0,3.521018,0.76475346,0.01681,0.84982926,-0.060486127,24.35312938400794,1.0,0.07961696,0.87201405,-7.54,3.4763875,-8.327656383890318,86998,1,0.00948,-2.2059696,-2.9324205,-0.011786109,9336,9.318766066838046
-2.9903266,3614.240080356598,9453,0.011650630626584994,0.0,3.4956696,0.76494306,0.01678,0.8990744,-0.06557866,24.347580139534532,1.0,0.08588375,0.864657,-7.59,3.459069,-8.31799428752777,87998,1,0.01205,-2.1873093,-2.9106317,-0.012208114,9453,9.309214006135619
-2.989642,3657.4449853897095,9586,0.0107994051471475,0.0,3.5087206,0.7650536,0.01674,0.8603533,-0.06794942,24.333380366763617,1.0,0.07301854,0.8666189,-6.68,3.4711702,-8.292301272689338,88998,1,0.13336,-2.1866326,-2.9146824,-0.011826223,9586,9.2836428124348
-2.991578,3699.9375228881836,9720,0.011661292718099852,0.0,3.4983866,0.76532143,0.01671,0.85325617,-0.06037123,24.32419451497853,1.0,0.07015457,0.8660336,-6.7,3.465392,-8.266152263374485,89998,1,0.10574,-2.1895132,-2.9159892,-0.011751233,9720,9.25761316872428
-2.989296,3743.4663372039795,9860,0.011377377241213137,0.0,3.4931233,0.7654945,0.01668,0.8545731,-0.09883679,24.308486253937314,1.0,0.08827275,0.8658375,-6.86,3.4532726,-8.236612576064909,90998,1,0.0483,-2.2601547,-2.9722764,-0.0116738975,9860,9.228194726166329
