rollout/return_history,reference_Q_mean,total/steps_per_second,reference_actor_Q_std,reference_actor_Q_mean,success rate,rollout/error,total/epochs,total/steps,rollout/actions_std,train/loss_critic,rollout/return,rollout/goal_tolerance,reference_action_mean,total/duration,reference_action_std,rollout/actions_mean,rollout/episode_steps,total/episodes,reference_Q_std,train/loss_actor,rollout/episodes,rollout/Q_mean,train/param_noise_distance,errors
-2.47,-0.47453675,18.984578011980705,1.0595524,-0.2568901,1.0,0.0195,1,27998,0.7633488,0.025258156,-2.8642758620689657,0.01891,-0.094097495,1474.7759988307953,0.83695906,0.02302265,3.8616551724137933,7250,1.3363153,0.19508724,7250,-1.057509,0.0,0.012743147648099046
-1.62,-0.4667048,18.935444871000602,1.0707145,-0.25371012,1.0,0.04103,1,28998,0.7644835,0.02505414,-2.822553023317086,0.01887,-0.046422716,1531.4137163162231,0.841889,0.021086149,3.820050059280727,7591,1.3386081,0.18876551,7591,-1.0544411,0.0,0.012387155604370165
-1.99,-0.46571773,18.90293841140233,1.0607654,-0.24124937,1.0,0.04602,1,29998,0.7655442,0.02430967,-2.7809547801990173,0.01884,-0.12244066,1586.9490418434143,0.83281183,0.018732782,3.7785615316790526,7939,1.3390367,0.16870661,7939,-1.0531529,0.0,0.012729361318464836
-1.86,-0.45260862,18.876494319738825,1.0647163,-0.23499532,1.0,0.03341,1,30998,0.7666471,0.024234518,-2.750211582638133,0.0188,-0.13602486,1642.1481380462646,0.8450517,0.016133273,3.7479143997098294,8271,1.3441018,0.16504492,8271,-1.0510565,0.0,0.012142627324383497
-1.84,-0.4615534,18.825825995976306,1.0645771,-0.23308763,1.0,0.02184,1,31998,0.7678127,0.024506154,-2.718666511789987,0.01876,-0.14471887,1699.6863780021667,0.84723985,0.016032686,3.7164595191079104,8609,1.3475527,0.13616589,8609,-1.0500573,0.0,0.012636322730131147
-2.13,-0.4434723,18.78293003012943,1.0694432,-0.21956335,1.0,0.0262,1,32998,0.76904315,0.023558546,-2.692238872735406,0.01872,-0.20538597,1756.8079073429108,0.8359284,0.014923024,3.6901140684410647,8942,1.342356,0.12193166,8942,-1.0513182,0.0,0.012362728026799248
-2.02,-0.43332386,18.747998164461993,1.0715185,-0.20213611,1.0,0.01118,1,33998,0.7703645,0.024441717,-2.6654455338864347,0.01869,-0.16342734,1813.4202756881714,0.8506302,0.013733211,3.6633983406960455,9281,1.3581802,0.11579882,9281,-1.0496609,0.0,0.012188010757806164
-1.56,-0.42079335,18.720687518821293,1.0746105,-0.19059642,1.0,0.01078,1,34998,0.7715392,0.023942182,-2.651616266944734,0.01865,-0.22283822,1869.4826226234436,0.83948183,0.011554568,3.6496350364963503,9590,1.3545811,0.10545096,9590,-1.0542665,0.0,0.011975717528411318
-1.9,-0.40404016,18.67339817871285,1.0759181,-0.16374193,1.0,0.02749,1,35998,0.77271724,0.02336484,-2.626057188884414,0.01861,-0.16574858,1927.7690999507904,0.8544238,0.00973323,3.624144180426903,9932,1.3539147,0.093508184,9932,-1.05211,0.0,0.012633585530299895
-2.05,-0.4055179,18.639867637790914,1.0758942,-0.17010514,1.0,0.02178,1,36998,0.77363735,0.024472278,-2.610260411586853,0.01858,-0.23321722,1984.8853392601013,0.83667654,0.009913332,3.608407295425729,10253,1.3607917,0.07093671,10253,-1.05016,0.0,0.0122261478262359
-2.49,-0.3773951,18.625228188772425,1.0845932,-0.14797646,1.0,0.04528,1,37998,0.7745467,0.023568913,-2.5968398145519918,0.01854,-0.23587812,2040.136078596115,0.8260241,0.008988955,3.5950421042671965,10569,1.3633994,0.064130865,10569,-1.0507613,0.0,0.012491758540427526
-2.12,-0.37464908,18.60720122482209,1.0917729,-0.13943958,1.0,0.03691,1,38998,0.77536255,0.024384104,-2.5818415496190212,0.0185,-0.2865361,2095.8552298545837,0.80012655,0.0075709173,3.5800973101992106,10893,1.3703752,0.0425949,10893,-1.0523498,0.0,0.011325644024655775
-2.31,-0.3780761,18.596035202417095,1.089729,-0.13864228,1.0,0.03215,1,39998,0.7759545,0.02414057,-2.5747342088805505,0.01846,-0.1705751,2150.8885934352875,0.82592684,0.006022752,3.573036719378183,11193,1.3722312,0.039401155,11193,-1.0528494,0.0,0.011923520849926029
-1.93,-0.363039,18.581427913172437,1.108836,-0.117982626,1.0,0.04242,1,40998,0.77658105,0.0251663,-2.563298288296116,0.01843,-0.16999693,2206.396633863449,0.82194406,0.0053479075,3.5616474063776176,11509,1.3804873,0.01620791,11509,-1.0534526,0.0,0.011965147689000009
-2.34,-0.3410802,18.558247795762618,1.1105688,-0.0889444,1.0,0.0333,1,41998,0.7770846,0.024241008,-2.554483925549915,0.01839,-0.2294368,2263.036923646927,0.8054799,0.006014137,3.552876480541455,11820,1.3821906,0.01677254,11820,-1.0550358,0.0,0.011831663574889488
-2.2,-0.32954228,18.54145862163932,1.1199149,-0.066465676,1.0,0.00503,1,42998,0.7774812,0.023459995,-2.546203940318193,0.01835,-0.16732788,2319.0192787647247,0.81985754,0.0054301326,3.5446377050531694,12131,1.3852918,-0.0049771387,12131,-1.055643,0.0,0.01252107999014468
-2.24,-0.31217498,18.534576697864246,1.1291904,-0.04741226,1.0,0.02123,1,43998,0.7776718,0.023977729,-2.5335152926065665,0.01832,-0.20089746,2373.833549976349,0.8139994,0.004858719,3.5319900457574054,12457,1.3981873,-0.04099553,12457,-1.054549,0.0,0.012066996840716404
-2.07,-0.28270325,18.512177308352385,1.1528966,-0.0074319392,1.0,0.01069,1,44998,0.778282,0.022506563,-2.517109375,0.01828,-0.12597649,2430.7243416309357,0.8293683,0.0052636038,3.515625,12800,1.4009902,-0.025219519,12800,-1.0534202,0.0,0.012265278858594669
-2.04,-0.24431725,18.4929296900867,1.1724117,0.05006008,1.0,0.01983,1,45998,0.7786369,0.02455344,-2.504035942735303,0.01824,-0.23955743,2487.328983068466,0.8089514,0.0049667237,3.5025890953396286,13132,1.4212909,-0.045512013,13132,-1.0541663,0.0,0.012227864566325823
-1.98,-0.23394455,18.479276366534744,1.1995577,0.05366145,1.0,0.02638,1,46998,0.77868,0.02282756,-2.491126457265909,0.01821,-0.16093834,2543.2814071178436,0.8232782,0.004740766,3.4897156010989825,13467,1.4494301,-0.08282421,13467,-1.052405,0.0,0.012025956146915808
-2.35,-0.1983286,18.46766765041868,1.2155235,0.09273807,1.0,0.01018,1,47998,0.7786449,0.02176725,-2.4849408520211917,0.01817,-0.15952933,2599.028795003891,0.8391703,0.0052765594,3.4835619420857826,13779,1.4584928,-0.08151311,13779,-1.0537903,0.0,0.012008388467898132
-2.59,-0.16761248,18.453121016437834,1.2240392,0.12166495,1.0,0.04961,1,48998,0.7785458,0.023039578,-2.4824156305506215,0.01814,-0.196527,2655.268989801407,0.8289383,0.0043603964,3.4810657193605685,14075,1.483735,-0.1001745,14075,-1.0568112,0.0,0.011595561025195846
-2.6,-0.14843902,18.4337572941283,1.2432163,0.1522631,1.0,0.01237,1,49998,0.7786299,0.021390975,-2.4759555246699096,0.0181,-0.19836122,2712.3065147399902,0.8317932,0.004867995,3.4746351633078527,14390,1.5008243,-0.11932019,14390,-1.0593174,0.0,0.01154246576481257
-2.64,-0.104742005,18.421619763476606,1.2634711,0.18113053,1.0,0.0172,1,50998,0.77852255,0.022421053,-2.472333764377595,0.01806,-0.17990212,2768.377626657486,0.8439988,0.0057502068,3.471040631593276,14693,1.5051917,-0.14270304,14693,-1.0609453,0.0,0.012085752105478423
-1.85,-0.06933573,18.42019642584189,1.252386,0.21880151,1.0,0.0372,1,51998,0.778478,0.022127192,-2.4620965058236273,0.01803,-0.14056535,2822.879778146744,0.85235465,0.0060130497,3.4608319467554076,15025,1.5035568,-0.16361922,15025,-1.0631728,0.0,0.011972668824869259
-2.27,-0.045370072,18.409370992386638,1.2641915,0.24176615,1.0,0.03134,1,52998,0.7784419,0.020688979,-2.453580037787478,0.01799,-0.11129444,2878.85990357399,0.8578322,0.0058897957,3.4523421721284775,15349,1.5223235,-0.16247572,15349,-1.0630201,0.0,0.012374279758642635
-2.46,-0.014910594,18.396915696843877,1.2675145,0.26657316,1.0,0.01454,1,53998,0.7785674,0.021207383,-2.4488284492115175,0.01796,-0.17104937,2935.1659207344055,0.8457147,0.006249136,3.4476153993487837,15663,1.5255309,-0.1692006,15663,-1.0673327,0.0,0.012028277059220738
