total/steps_per_second,reference_Q_std,total/steps,reference_action_std,rollout/Q_mean,train/loss_actor,reference_action_mean,rollout/error,rollout/episode_steps,reference_actor_Q_std,rollout/return_history,rollout/return,total/duration,train/loss_critic,rollout/actions_mean,success rate,total/epochs,errors,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,total/episodes,reference_Q_mean,rollout/goal_tolerance,rollout/episodes
19.83369602487211,1.889492,1218998,0.8054468,-1.5681511,0.7917049,0.11270449,0.01442,4.4521186843047165,1.4857676,-5.34,-3.4522757320983777,61460.96009898186,0.02244911,0.0024036162,1.0,1,0.000900248185494109,-0.6477652,0.74592465,0.0,273802,-1.1013589,0.00175,273802
19.834670199539758,1.8877431,1219998,0.80278504,-1.5684377,0.7802748,0.12605552,0.01701,4.453067511534194,1.4903213,-4.53,-3.453224464170998,61508.358229637146,0.024040638,0.0024009398,1.0,1,0.0008391425584397896,-0.6543964,0.74589926,0.0,273968,-1.1261028,0.00175,273968
19.835513070235148,1.8350326,1220998,0.8027532,-1.5686625,0.7841097,0.12461335,0.00641,4.453812931795467,1.4958569,-4.61,-3.45396978252464,61556.15918159485,0.02239538,0.00241119,1.0,1,0.0009517052676239586,-0.6133796,0.74587244,0.0,274146,-1.070333,0.00175,274146
19.835836021822765,1.8304605,1221998,0.81438357,-1.5687262,0.77624434,0.10413399,0.00171,4.45463526306772,1.4052927,-4.22,-3.454792013735733,61605.57077884674,0.025185023,0.0024417338,1.0,1,0.0008856342489967006,-0.6269059,0.74583846,0.0,274321,-1.089385,0.00174,274321
19.836303162054342,1.7916943,1222998,0.8027058,-1.5689303,0.7912797,0.112380065,0.02608,4.4552650943877365,1.3991542,-4.16,-3.4554217394155318,61654.532601594925,0.024368515,0.0024361971,1.0,1,0.0008916570232848151,-0.6232473,0.7458133,0.0,274506,-1.0864295,0.00174,274506
19.836844818136292,1.854861,1223998,0.8029305,-1.5689458,0.77479136,0.11839819,0.00239,4.455879194288814,1.527446,-4.34,-3.456035734958444,61703.26033306122,0.030270804,0.0024546464,1.0,1,0.0007888016847446804,-0.6852667,0.7457876,0.0,274689,-1.1230931,0.00174,274689
19.83746122399924,1.9321299,1224998,0.8068882,-1.5691024,0.78488696,0.11808769,0.03828,4.456610555496942,1.5952778,-4.37,-3.4567669925164894,61751.75271511078,0.022428269,0.0024389068,1.0,1,0.0008939811037380747,-0.71943027,0.74576473,0.0,274871,-1.1533033,0.00173,274871
19.83787513370889,1.987141,1225998,0.8048529,-1.5691453,0.7789816,0.105880894,0.004,4.457254314560255,1.6621705,-3.89,-3.4574106457934173,61800.87291288376,0.022069443,0.0024368975,1.0,1,0.0008720915562821824,-0.7134186,0.7457334,0.0,275057,-1.1689854,0.00173,275057
19.838371559147003,1.8518053,1226998,0.8071097,-1.5693415,0.7882181,0.1121451,0.005,4.457936556955954,1.464648,-3.87,-3.458092784816105,61849.733802080154,0.024057236,0.002447999,1.0,1,0.0009643037618242224,-0.65273,0.74570113,0.0,275239,-1.112925,0.00173,275239
19.83870821581111,1.8433899,1227998,0.81075287,-1.5693591,0.7676981,0.118933,0.01833,4.45835693228191,1.4451923,-4.53,-3.4585130484032587,61899.09073925018,0.025201175,0.0024543486,1.0,1,0.0008724917564299501,-0.64887714,0.7456673,0.0,275436,-1.1104071,0.00172,275436
